time,open,high,low,close,volume,symbol
2025-08-21,11.65,11.65,11.25,11.4,374900,SKG
2025-08-22,11.35,11.35,10.8,11.1,855700,SKG
2025-08-25,11.1,11.2,10.85,10.9,120300,SKG
2025-08-26,10.9,11.1,10.85,11.1,138700,SKG
2025-08-27,11.1,11.4,10.95,11.1,215300,SKG
2025-08-28,11.25,11.25,11.05,11.2,86400,SKG
2025-08-29,11.3,11.3,11.1,11.25,112000,SKG
2025-09-03,11.25,11.25,11.1,11.2,162000,SKG
2025-09-04,11.2,11.35,11.2,11.25,198100,SKG
2025-09-05,11.25,11.4,11.1,11.15,270200,SKG
2025-09-08,11.2,11.2,10.9,11.0,356200,SKG
2025-09-09,11.1,11.1,10.85,10.95,183600,SKG
2025-09-10,11.1,11.1,10.8,11.0,197000,SKG
2025-09-11,10.9,11.0,10.7,11.0,204900,SKG
2025-09-12,10.95,11.1,10.9,11.05,157200,SKG
2025-09-15,11.15,11.15,10.9,11.05,113500,SKG
2025-09-16,11.0,11.1,10.9,11.0,198900,SKG
2025-09-17,11.0,11.05,10.9,11.0,92700,SKG
2025-09-18,11.0,11.0,10.8,10.95,120100,SKG
2025-09-19,10.95,11.5,10.95,11.2,256000,SKG
2025-09-22,11.3,11.3,10.95,11.05,114000,SKG
2025-09-23,10.95,11.15,10.9,11.05,79900,SKG
2025-09-24,11.0,11.05,10.85,11.0,118600,SKG
2025-09-25,11.1,11.1,10.85,11.0,139300,SKG
2025-09-26,11.0,11.05,10.8,11.0,150500,SKG
2025-09-29,11.0,11.0,10.7,10.9,188900,SKG
2025-09-30,10.85,10.9,10.7,10.85,165700,SKG
2025-10-01,10.8,10.85,10.75,10.85,59900,SKG
2025-10-02,10.85,10.9,10.7,10.8,105000,SKG
2025-10-03,10.75,10.85,10.6,10.6,269700,SKG
2025-10-06,10.7,10.95,10.7,10.85,72400,SKG
2025-10-07,10.85,10.85,10.7,10.8,72800,SKG
2025-10-08,10.9,10.9,10.75,10.85,58000,SKG
2025-10-09,10.75,10.9,10.7,10.85,35100,SKG
2025-10-10,10.85,10.9,10.75,10.85,98400,SKG
2025-10-13,10.75,10.8,10.75,10.8,50300,SKG
2025-10-14,10.7,10.85,10.55,10.6,251900,SKG
2025-10-15,10.6,10.6,10.45,10.6,79200,SKG
2025-10-16,10.45,10.55,10.4,10.5,72700,SKG
2025-10-17,10.65,10.65,10.35,10.4,71000,SKG
2025-10-20,10.55,10.65,10.0,10.0,143300,SKG
2025-10-21,10.15,10.2,9.99,10.1,146300,SKG
2025-10-22,10.25,10.25,10.0,10.2,86500,SKG
2025-10-23,10.2,10.5,10.1,10.1,51400,SKG
2025-10-24,10.3,10.3,10.05,10.1,48500,SKG
2025-10-27,10.1,10.5,10.1,10.3,113800,SKG
2025-10-28,10.2,10.3,10.05,10.3,29900,SKG
2025-10-29,10.2,10.45,10.15,10.4,105500,SKG
2025-10-30,10.4,10.45,10.35,10.4,46500,SKG
2025-10-31,10.4,10.4,10.25,10.4,67400,SKG
