time,open,high,low,close,volume,symbol
2025-08-21,6.8,6.8,6.68,6.7,303800,ST8
2025-08-22,6.7,6.72,6.4,6.43,669900,ST8
2025-08-25,6.73,6.73,6.48,6.57,200200,ST8
2025-08-26,6.61,6.68,6.51,6.67,127600,ST8
2025-08-27,6.68,6.75,6.62,6.7,212300,ST8
2025-08-28,6.7,6.75,6.65,6.7,92500,ST8
2025-08-29,6.73,6.73,6.65,6.68,185600,ST8
2025-09-03,6.98,6.98,6.75,6.91,276800,ST8
2025-09-04,6.92,7.12,6.91,6.91,506500,ST8
2025-09-05,6.92,6.98,6.81,6.83,199600,ST8
2025-09-08,6.85,6.85,6.66,6.68,303100,ST8
2025-09-09,6.68,6.75,6.65,6.68,173400,ST8
2025-09-10,6.69,6.72,6.53,6.63,225800,ST8
2025-09-11,6.63,6.65,6.45,6.62,237200,ST8
2025-09-12,7.05,7.05,6.78,6.83,727800,ST8
2025-09-15,6.86,6.89,6.76,6.83,147100,ST8
2025-09-16,6.85,6.85,6.71,6.71,170300,ST8
2025-09-17,6.76,6.77,6.69,6.72,205400,ST8
2025-09-18,6.79,6.79,6.7,6.72,68700,ST8
2025-09-19,6.71,6.78,6.65,6.65,132600,ST8
2025-09-22,6.68,6.69,6.6,6.64,228000,ST8
2025-09-23,6.64,6.7,6.61,6.7,111000,ST8
2025-09-24,6.7,6.7,6.61,6.69,56800,ST8
2025-09-25,6.73,6.73,6.63,6.69,67500,ST8
2025-09-26,6.69,6.69,6.61,6.64,223600,ST8
2025-09-29,6.61,6.72,6.6,6.65,171900,ST8
2025-09-30,6.69,6.69,6.53,6.61,192800,ST8
2025-10-01,6.61,6.61,6.55,6.6,104200,ST8
2025-10-02,6.6,6.64,6.5,6.5,213100,ST8
2025-10-03,6.5,6.5,6.2,6.33,365900,ST8
2025-10-06,6.27,6.48,6.27,6.45,93300,ST8
2025-10-07,6.45,6.49,6.37,6.39,48300,ST8
2025-10-08,6.45,6.5,6.36,6.5,144500,ST8
2025-10-09,6.41,6.5,6.4,6.44,89400,ST8
2025-10-10,6.41,6.43,6.32,6.42,340900,ST8
2025-10-13,6.24,6.37,6.21,6.23,307200,ST8
2025-10-14,6.32,6.32,6.06,6.1,339500,ST8
2025-10-15,6.17,6.19,6.04,6.05,82800,ST8
2025-10-16,6.06,6.08,5.63,5.77,479900,ST8
2025-10-17,5.77,5.79,5.66,5.79,238100,ST8
2025-10-20,5.79,6.09,5.54,5.56,178700,ST8
2025-10-21,5.64,5.75,5.54,5.61,105400,ST8
2025-10-22,5.6,5.68,5.58,5.67,110500,ST8
2025-10-23,5.7,5.8,5.67,5.73,47600,ST8
2025-10-24,5.7,5.73,5.6,5.6,35900,ST8
2025-10-27,5.7,5.7,5.6,5.61,59200,ST8
2025-10-28,5.61,5.66,5.6,5.63,42400,ST8
2025-10-29,5.64,5.74,5.63,5.7,128400,ST8
2025-10-30,6.0,6.0,5.8,5.83,247400,ST8
2025-10-31,5.84,5.92,5.8,5.85,108700,ST8
