time,open,high,low,close,volume,symbol
2025-08-18,16.64,16.64,16.64,16.64,0,SVC
2025-08-19,16.57,16.71,16.36,16.36,7811,SVC
2025-08-20,16.36,16.36,16.36,16.36,2340,SVC
2025-08-21,17.07,17.5,17.07,17.5,11332,SVC
2025-08-22,18.5,18.71,18.43,18.68,30813,SVC
2025-08-25,19.96,19.96,17.43,19.46,3318,SVC
2025-08-26,19.29,19.29,18.11,18.11,61022,SVC
2025-08-27,18.93,18.93,17.96,18.36,3979,SVC
2025-08-28,18.36,18.57,18.21,18.5,10175,SVC
2025-08-29,18.21,18.54,17.93,18.54,4700,SVC
2025-09-03,18.54,19.64,18.25,19.64,24261,SVC
2025-09-04,20.93,21.0,20.86,21.0,30768,SVC
2025-09-05,22.46,22.46,22.46,22.46,5735,SVC
2025-09-08,24.04,24.04,23.96,24.04,41197,SVC
2025-09-09,24.04,25.0,24.04,24.93,43512,SVC
2025-09-10,25.71,25.71,23.21,24.21,23666,SVC
2025-09-11,25.85,25.85,24.2,24.6,23149,SVC
2025-09-12,25.8,25.8,23.35,23.4,6061,SVC
2025-09-15,23.2,23.2,21.8,21.8,31599,SVC
2025-09-16,22.1,23.15,22.1,22.45,9778,SVC
2025-09-17,22.45,22.45,21.25,21.25,6703,SVC
2025-09-18,22.0,22.5,22.0,22.0,7438,SVC
2025-09-19,22.0,22.0,21.35,21.35,2145,SVC
2025-09-22,21.35,21.35,20.5,20.5,2841,SVC
2025-09-23,20.5,20.55,20.35,20.35,5551,SVC
2025-09-24,20.3,20.3,20.05,20.1,4300,SVC
2025-09-25,20.05,20.05,19.1,20.05,6800,SVC
2025-09-26,20.05,20.05,20.0,20.05,3000,SVC
2025-09-29,20.05,20.05,20.0,20.05,1900,SVC
2025-09-30,20.0,20.0,19.25,20.0,5000,SVC
2025-10-01,20.0,20.0,20.0,20.0,1300,SVC
2025-10-03,18.8,20.0,18.8,20.0,4600,SVC
2025-10-06,20.0,20.0,20.0,20.0,6300,SVC
2025-10-07,20.0,21.0,19.2,21.0,3400,SVC
2025-10-08,21.0,21.0,20.0,20.95,1100,SVC
2025-10-10,20.5,20.5,19.6,20.5,3600,SVC
2025-10-14,20.3,20.3,19.1,20.0,1300,SVC
2025-10-15,19.1,20.0,19.1,20.0,1200,SVC
2025-10-16,21.4,21.4,21.4,21.4,45800,SVC
2025-10-17,22.85,22.85,22.85,22.85,4000,SVC
2025-10-20,24.4,24.4,24.4,24.4,19400,SVC
2025-10-21,26.1,26.1,26.1,26.1,29500,SVC
2025-10-22,27.9,27.9,27.8,27.9,98900,SVC
2025-10-23,29.85,29.85,29.85,29.85,28300,SVC
2025-10-24,31.9,31.9,31.8,31.9,35500,SVC
2025-10-27,34.1,34.1,34.1,34.1,5100,SVC
2025-10-28,36.45,36.45,36.45,36.45,5300,SVC
2025-10-29,39.0,39.0,33.9,33.9,47400,SVC
2025-10-30,33.85,33.85,31.55,31.55,16300,SVC
2025-10-31,29.35,31.0,29.35,29.4,50300,SVC
