time,open,high,low,close,volume,symbol
2025-08-21,11.98,11.98,11.93,11.98,10400,SVT
2025-08-22,11.76,11.93,11.71,11.93,14525,SVT
2025-08-25,11.71,11.93,11.71,11.93,3501,SVT
2025-08-26,11.71,11.98,11.71,11.98,22262,SVT
2025-08-27,12.2,12.24,12.11,12.2,118909,SVT
2025-08-28,12.24,12.24,12.02,12.24,32244,SVT
2025-08-29,12.24,12.24,11.89,12.11,73438,SVT
2025-09-03,12.2,12.2,11.93,12.11,137020,SVT
2025-09-04,11.98,12.15,11.98,12.15,47266,SVT
2025-09-05,12.15,12.15,11.98,12.11,188800,SVT
2025-09-08,12.07,12.07,11.89,11.98,157310,SVT
2025-09-09,11.98,12.02,11.8,12.02,104812,SVT
2025-09-10,11.98,11.98,11.62,11.8,136700,SVT
2025-09-11,11.5,11.8,11.4,11.5,41428,SVT
2025-09-12,11.5,11.5,11.2,11.3,42369,SVT
2025-09-15,11.3,11.6,11.25,11.35,31885,SVT
2025-09-16,11.35,11.45,11.3,11.35,19328,SVT
2025-09-17,11.75,11.75,11.2,11.2,13525,SVT
2025-09-18,11.4,11.45,11.2,11.25,17805,SVT
2025-09-19,11.3,11.3,11.15,11.3,15456,SVT
2025-09-22,11.3,11.3,11.2,11.2,25136,SVT
2025-09-23,11.25,11.4,11.15,11.2,36631,SVT
2025-09-24,11.2,11.2,11.15,11.2,94900,SVT
2025-09-25,11.2,11.2,11.15,11.2,54600,SVT
2025-09-26,11.2,11.55,11.2,11.35,44100,SVT
2025-09-29,11.35,11.35,11.2,11.2,37100,SVT
2025-09-30,11.2,11.25,11.2,11.25,6600,SVT
2025-10-01,11.25,11.25,11.25,11.25,200,SVT
2025-10-02,11.25,11.25,11.2,11.25,5800,SVT
2025-10-03,11.25,11.25,11.25,11.25,700,SVT
2025-10-06,11.35,11.35,11.2,11.25,17000,SVT
2025-10-07,11.25,11.25,11.15,11.2,10100,SVT
2025-10-08,11.2,11.25,11.15,11.25,35700,SVT
2025-10-09,11.25,11.25,11.2,11.2,14800,SVT
2025-10-10,11.25,11.25,11.15,11.25,3800,SVT
2025-10-13,11.2,11.25,11.1,11.25,2000,SVT
2025-10-14,11.25,11.25,11.1,11.2,9300,SVT
2025-10-15,11.15,11.2,11.1,11.15,4000,SVT
2025-10-16,11.15,11.2,11.1,11.1,1900,SVT
2025-10-17,11.15,11.15,11.1,11.1,6000,SVT
2025-10-20,11.1,11.1,10.8,10.8,31800,SVT
2025-10-21,10.8,11.4,10.75,10.95,46900,SVT
2025-10-22,10.8,10.8,10.7,10.8,17300,SVT
2025-10-23,10.8,10.9,10.8,10.9,5200,SVT
2025-10-24,10.9,10.95,10.85,10.85,10400,SVT
2025-10-27,10.85,10.9,10.4,10.8,6900,SVT
2025-10-28,10.7,10.7,10.7,10.7,4100,SVT
2025-10-29,10.9,10.9,10.85,10.9,800,SVT
2025-10-30,10.9,10.9,10.9,10.9,600,SVT
2025-10-31,10.9,10.9,10.7,10.7,1200,SVT
