time,open,high,low,close,volume,symbol
2025-07-29,3.01,3.01,2.81,2.81,5455500,TCD
2025-07-30,2.76,2.79,2.69,2.76,2454100,TCD
2025-07-31,2.85,2.85,2.75,2.84,2059000,TCD
2025-08-01,2.75,2.81,2.73,2.73,1913800,TCD
2025-08-04,2.73,2.79,2.73,2.77,1024400,TCD
2025-08-05,2.79,2.82,2.7,2.7,1766900,TCD
2025-08-06,2.71,2.75,2.7,2.71,1118000,TCD
2025-08-07,2.72,2.74,2.7,2.74,1685100,TCD
2025-08-08,2.8,2.93,2.8,2.93,4985200,TCD
2025-08-11,3.0,3.0,2.89,2.89,2005200,TCD
2025-08-12,2.92,2.92,2.78,2.8,1801200,TCD
2025-08-13,2.81,2.81,2.75,2.8,1817100,TCD
2025-08-14,2.77,2.89,2.77,2.83,1445200,TCD
2025-08-15,2.87,2.87,2.78,2.79,1730400,TCD
2025-08-18,2.79,2.79,2.75,2.75,2068300,TCD
2025-08-19,2.8,2.81,2.76,2.8,1458200,TCD
2025-08-20,2.8,2.8,2.73,2.75,1548600,TCD
2025-08-21,2.75,2.75,2.7,2.7,1278800,TCD
2025-08-22,2.7,2.7,2.58,2.58,1840600,TCD
2025-08-25,2.58,2.61,2.58,2.61,1158900,TCD
2025-08-26,2.61,2.61,2.58,2.61,1275900,TCD
2025-08-27,2.62,2.67,2.62,2.62,405800,TCD
2025-08-28,2.65,2.68,2.65,2.68,565100,TCD
2025-08-29,2.86,2.86,2.86,2.86,1645600,TCD
2025-09-03,3.02,3.02,2.83,2.86,2319800,TCD
2025-09-04,2.87,2.87,2.78,2.78,1013800,TCD
2025-09-05,2.79,2.79,2.74,2.74,925900,TCD
2025-09-08,2.74,2.74,2.65,2.66,871600,TCD
2025-09-09,2.67,2.67,2.62,2.63,491700,TCD
2025-09-10,2.66,2.66,2.63,2.64,377400,TCD
2025-09-11,2.64,2.65,2.6,2.62,1075100,TCD
2025-09-12,2.64,2.65,2.62,2.65,553500,TCD
2025-09-15,2.65,2.75,2.65,2.74,990000,TCD
2025-09-16,2.72,2.75,2.68,2.68,526100,TCD
2025-09-17,2.66,2.66,2.62,2.64,899400,TCD
2025-09-18,2.63,2.63,2.54,2.54,847900,TCD
2025-09-19,2.48,2.53,2.48,2.53,779700,TCD
2025-09-22,2.52,2.52,2.45,2.45,593700,TCD
2025-09-23,2.41,2.62,2.41,2.62,944200,TCD
2025-09-24,2.69,2.69,2.56,2.62,395300,TCD
2025-09-25,2.6,2.62,2.54,2.54,562400,TCD
2025-09-26,2.6,2.6,2.49,2.49,676600,TCD
2025-09-29,2.5,2.56,2.47,2.47,582700,TCD
2025-09-30,2.47,2.48,2.41,2.41,539000,TCD
2025-10-01,2.42,2.45,2.41,2.41,775800,TCD
2025-10-02,2.25,2.25,2.25,2.25,954100,TCD
2025-10-03,2.1,2.1,2.1,2.1,281300,TCD
2025-10-06,1.96,1.96,1.96,1.96,707900,TCD
2025-10-07,1.83,2.03,1.83,1.83,7640500,TCD
2025-10-08,1.81,1.92,1.77,1.89,2783800,TCD
