time,open,high,low,close,volume,symbol
2025-08-21,22.63,22.63,21.46,22.19,22067,TCT
2025-08-22,22.73,22.73,20.68,20.73,35325,TCT
2025-08-25,20.73,21.02,20.73,20.73,21560,TCT
2025-08-26,20.87,20.87,20.48,20.78,7500,TCT
2025-08-27,20.78,20.78,20.68,20.68,1625,TCT
2025-08-28,20.68,21.46,20.48,20.78,7602,TCT
2025-08-29,20.78,20.78,20.68,20.78,5520,TCT
2025-09-03,21.75,21.75,20.82,20.82,7528,TCT
2025-09-04,20.87,21.07,20.87,20.92,3502,TCT
2025-09-05,21.17,21.17,20.92,20.92,1171,TCT
2025-09-08,20.97,21.17,20.78,20.92,12522,TCT
2025-09-09,20.92,20.92,20.73,20.78,4232,TCT
2025-09-10,21.36,21.36,20.82,20.82,900,TCT
2025-09-11,20.87,20.92,20.34,20.34,12901,TCT
2025-09-12,20.34,20.48,20.34,20.48,56085,TCT
2025-09-15,20.48,20.53,20.43,20.48,6256,TCT
2025-09-16,20.48,20.48,20.43,20.48,3935,TCT
2025-09-17,20.39,20.48,20.34,20.48,6820,TCT
2025-09-18,20.48,20.48,20.48,20.48,117,TCT
2025-09-19,20.43,20.43,20.39,20.39,4612,TCT
2025-09-22,20.29,20.39,20.19,20.39,9243,TCT
2025-09-23,20.09,20.09,20.09,20.09,1600,TCT
2025-09-24,20.09,20.97,19.9,20.97,14900,TCT
2025-09-25,20.48,20.48,20.48,20.48,5000,TCT
2025-09-26,20.0,20.48,20.0,20.48,2202,TCT
2025-09-29,20.0,20.29,19.95,20.29,3100,TCT
2025-09-30,20.0,20.29,20.0,20.29,8800,TCT
2025-10-01,20.19,20.19,20.04,20.19,1200,TCT
2025-10-02,20.09,20.19,20.04,20.04,1569,TCT
2025-10-03,20.04,20.04,20.0,20.04,1200,TCT
2025-10-06,20.04,20.68,20.04,20.14,4614,TCT
2025-10-07,20.14,20.43,20.14,20.43,1600,TCT
2025-10-08,21.07,21.07,19.51,20.34,16622,TCT
2025-10-09,20.34,20.34,20.0,20.34,1014,TCT
2025-10-10,20.34,20.34,20.0,20.29,3101,TCT
2025-10-13,19.7,20.24,19.7,20.0,6100,TCT
2025-10-14,20.29,20.43,19.9,20.43,5224,TCT
2025-10-15,20.0,20.29,19.85,20.29,10200,TCT
2025-10-16,19.9,20.09,19.8,20.09,409,TCT
2025-10-17,20.09,20.09,18.83,19.8,6541,TCT
2025-10-20,19.8,20.0,19.8,19.8,5114,TCT
2025-10-21,20.3,20.5,20.3,20.5,1800,TCT
2025-10-22,20.0,20.1,20.0,20.1,4229,TCT
2025-10-23,20.1,20.1,20.1,20.1,956,TCT
2025-10-24,20.1,20.1,19.55,19.55,3450,TCT
2025-10-27,19.55,20.5,19.25,20.0,4105,TCT
2025-10-28,20.0,20.0,19.8,20.0,1105,TCT
2025-10-29,20.4,20.4,20.35,20.35,915,TCT
2025-10-30,20.4,20.45,20.05,20.45,10540,TCT
2025-10-31,20.45,20.45,20.45,20.45,2300,TCT
