time,open,high,low,close,volume,symbol
2025-10-21,49.8,51.0,48.45,48.95,14668000,TCX
2025-10-22,49.0,49.0,47.3,48.05,5853000,TCX
2025-10-23,47.6,48.0,46.7,47.9,4955300,TCX
2025-10-24,47.0,47.9,46.5,46.95,3740300,TCX
2025-10-27,46.85,46.95,45.55,45.65,3542900,TCX
2025-10-28,44.6,45.0,42.5,43.9,6048000,TCX
2025-10-29,44.9,45.05,43.95,45.05,1168000,TCX
2025-10-30,45.0,45.5,43.8,45.5,1542000,TCX
2025-10-31,45.5,46.25,45.0,45.25,1835500,TCX
2025-11-03,45.25,46.0,43.4,43.4,1434400,TCX
2025-11-04,43.0,46.0,42.1,45.95,2819200,TCX
2025-11-05,45.8,45.8,43.9,44.95,859100,TCX
2025-11-06,44.7,45.0,43.5,43.8,983600,TCX
2025-11-07,43.5,44.65,43.0,43.3,1798800,TCX
2025-11-10,43.05,43.9,43.05,43.35,1342500,TCX
2025-11-11,43.45,43.7,43.25,43.25,1490000,TCX
2025-11-12,43.5,43.5,42.45,43.2,3784500,TCX
2025-11-13,43.25,43.25,42.7,42.8,1688800,TCX
2025-11-14,43.05,44.15,43.0,44.1,2663300,TCX
2025-11-17,43.8,45.5,43.6,45.1,2563500,TCX
2025-11-18,45.0,45.45,44.5,45.4,2373800,TCX
2025-11-19,45.3,45.35,44.5,45.0,1863800,TCX
2025-11-20,44.8,45.2,44.05,45.0,809500,TCX
2025-11-21,44.85,44.95,44.1,44.95,1023400,TCX
2025-11-24,45.0,46.7,44.65,45.7,3376900,TCX
2025-11-25,45.7,45.85,45.0,45.6,1170400,TCX
2025-11-26,45.6,46.5,45.4,46.5,2517000,TCX
2025-11-27,46.55,47.4,45.95,47.15,4729600,TCX
2025-11-28,47.15,47.2,46.25,47.0,1440400,TCX
2025-12-01,47.0,47.05,46.05,46.15,852000,TCX
2025-12-02,46.15,46.75,45.1,46.75,1905100,TCX
2025-12-03,46.2,46.75,46.05,46.7,794000,TCX
2025-12-04,47.05,47.25,46.7,47.15,3522500,TCX
2025-12-05,46.85,47.2,46.35,46.5,1280800,TCX
2025-12-08,46.1,46.45,45.85,46.4,652700,TCX
2025-12-09,46.1,46.4,45.35,45.6,752500,TCX
2025-12-10,45.5,46.4,45.3,46.0,433500,TCX
2025-12-11,46.05,46.1,44.8,44.8,517100,TCX
2025-12-12,44.3,45.0,43.8,43.85,1360600,TCX
2025-12-15,44.2,46.9,44.2,46.75,4528800,TCX
2025-12-16,46.75,47.2,46.6,47.15,5355600,TCX
2025-12-17,47.0,47.55,46.0,47.45,3626500,TCX
2025-12-18,47.35,47.35,46.5,46.9,916600,TCX
2025-12-19,46.75,47.7,46.25,47.7,4515700,TCX
2025-12-22,46.55,47.4,46.35,47.4,2167000,TCX
2025-12-23,47.4,47.4,45.85,46.7,2589000,TCX
2025-12-24,46.8,46.8,46.0,46.75,1237600,TCX
2025-12-25,46.75,46.8,45.7,46.45,1286900,TCX
2025-12-26,45.75,46.45,44.6,46.45,1262300,TCX
2025-12-29,46.45,46.45,45.5,46.0,893800,TCX
