time,open,high,low,close,volume,symbol
2025-08-21,20.4,20.8,19.6,19.7,302200,TIP
2025-08-22,18.5,19.8,18.5,19.25,362100,TIP
2025-08-25,19.8,19.8,18.75,18.75,188000,TIP
2025-08-26,18.7,19.5,18.65,19.5,179500,TIP
2025-08-27,19.7,19.75,19.2,19.4,100000,TIP
2025-08-28,19.4,19.4,19.2,19.4,51600,TIP
2025-08-29,19.4,19.4,19.15,19.15,174800,TIP
2025-09-03,19.15,19.5,19.15,19.35,108600,TIP
2025-09-04,19.35,19.65,19.35,19.65,153400,TIP
2025-09-05,19.75,20.3,18.75,18.75,779500,TIP
2025-09-08,18.9,19.5,18.9,19.4,217900,TIP
2025-09-09,19.55,19.55,19.2,19.4,188600,TIP
2025-09-10,19.5,19.6,19.15,19.3,78500,TIP
2025-09-11,19.3,19.3,18.8,19.3,121000,TIP
2025-09-12,19.45,19.55,19.3,19.5,74000,TIP
2025-09-15,19.75,20.0,19.7,20.0,237400,TIP
2025-09-16,20.3,20.3,19.7,19.95,212400,TIP
2025-09-17,19.8,20.0,19.6,19.7,85300,TIP
2025-09-18,19.8,19.8,19.6,19.7,104600,TIP
2025-09-19,19.7,19.8,19.6,19.7,183800,TIP
2025-09-22,19.95,19.95,19.45,19.5,158500,TIP
2025-09-23,19.5,19.6,19.45,19.55,58400,TIP
2025-09-24,19.55,19.6,19.4,19.6,73200,TIP
2025-09-25,19.85,19.85,19.75,19.75,76600,TIP
2025-09-26,19.65,19.85,19.6,19.8,134100,TIP
2025-09-29,19.8,19.8,19.5,19.65,89600,TIP
2025-09-30,19.9,19.9,19.35,19.35,132800,TIP
2025-10-01,19.35,19.5,19.35,19.4,38000,TIP
2025-10-02,19.4,19.4,19.25,19.3,103700,TIP
2025-10-03,19.25,19.3,19.1,19.2,141200,TIP
2025-10-06,19.3,19.4,19.25,19.35,29900,TIP
2025-10-07,19.4,19.45,19.2,19.3,59900,TIP
2025-10-08,19.3,19.3,19.1,19.1,219800,TIP
2025-10-09,19.15,19.25,19.0,19.15,139300,TIP
2025-10-10,19.2,19.3,19.15,19.25,68800,TIP
2025-10-13,19.0,19.25,19.0,19.25,62800,TIP
2025-10-14,19.05,19.35,19.0,19.2,86200,TIP
2025-10-15,19.2,19.25,19.0,19.1,93100,TIP
2025-10-16,19.1,19.1,19.0,19.0,53400,TIP
2025-10-17,18.9,19.0,18.8,18.8,33500,TIP
2025-10-20,18.85,19.0,18.4,18.4,184700,TIP
2025-10-21,18.4,18.55,18.1,18.5,53200,TIP
2025-10-22,18.8,18.8,18.0,18.6,20200,TIP
2025-10-23,18.8,18.8,18.4,18.4,17300,TIP
2025-10-24,18.6,18.6,18.35,18.45,23000,TIP
2025-10-27,18.5,18.65,18.5,18.6,24600,TIP
2025-10-28,18.6,18.8,18.6,18.65,36700,TIP
2025-10-29,18.7,19.0,18.65,18.85,46000,TIP
2025-10-30,18.85,18.85,18.4,18.6,31500,TIP
2025-10-31,18.5,18.85,18.5,18.7,29900,TIP
