time,open,high,low,close,volume,symbol
2024-12-24,17.2,18.0,17.1,18.0,400,TJC
2024-12-30,16.3,18.1,16.3,18.1,2800,TJC
2025-01-13,16.3,18.1,16.3,18.1,300,TJC
2025-02-04,16.7,16.7,16.3,16.3,800,TJC
2025-02-07,16.3,17.8,16.3,17.0,15600,TJC
2025-02-25,16.5,16.5,16.5,16.5,500,TJC
2025-02-27,16.5,16.5,16.5,16.5,900,TJC
2025-03-06,17.9,17.9,17.9,17.9,100,TJC
2025-03-12,19.3,19.3,19.3,19.3,100,TJC
2025-03-17,20.0,20.0,20.0,20.0,100,TJC
2025-06-27,18.0,18.0,18.0,18.0,100,TJC
2025-06-30,19.7,19.7,19.7,19.7,100,TJC
2025-07-11,17.8,17.8,17.8,17.8,1300,TJC
2025-07-15,16.6,16.6,16.5,16.5,1000,TJC
2025-07-16,15.4,17.0,15.3,17.0,2000,TJC
2025-07-21,15.3,15.5,15.3,15.5,200,TJC
2025-07-23,14.2,16.9,14.2,16.9,1600,TJC
2025-07-25,15.3,15.3,15.3,15.3,5000,TJC
2025-07-28,15.3,15.3,13.8,15.0,6300,TJC
2025-07-29,14.2,14.2,14.2,14.2,800,TJC
2025-07-30,13.5,14.7,12.8,14.7,3600,TJC
2025-08-01,14.0,14.6,13.4,14.6,400,TJC
2025-08-07,14.5,14.5,14.5,14.5,100,TJC
2025-08-08,13.5,14.4,13.5,13.8,1100,TJC
2025-08-11,13.8,15.0,13.8,15.0,200,TJC
2025-08-13,13.6,14.9,13.5,14.9,300,TJC
2025-08-14,13.6,14.8,13.6,14.8,200,TJC
2025-08-15,13.6,13.8,13.6,13.8,500,TJC
2025-08-18,13.8,14.4,13.8,14.4,2100,TJC
2025-08-19,14.7,14.7,14.7,14.7,100,TJC
2025-08-28,13.5,14.7,13.5,14.7,700,TJC
2025-09-05,13.6,14.5,13.5,13.7,1900,TJC
2025-09-08,14.4,14.4,14.4,14.4,100,TJC
2025-09-11,13.2,14.3,13.2,14.3,400,TJC
2025-09-15,14.3,14.3,13.1,13.1,800,TJC
2025-09-16,13.2,13.2,13.2,13.2,500,TJC
2025-09-17,13.2,13.9,13.2,13.9,2100,TJC
2025-09-18,13.8,13.8,13.8,13.8,3000,TJC
2025-09-22,13.0,13.8,13.0,13.8,3100,TJC
2025-09-25,15.0,15.0,15.0,15.0,100,TJC
2025-09-26,14.5,14.5,13.5,14.4,2400,TJC
2025-09-30,14.0,14.0,13.1,14.0,5700,TJC
2025-10-01,14.4,14.4,14.4,14.4,100,TJC
2025-10-03,14.4,14.8,14.4,14.8,400,TJC
2025-10-17,14.0,14.3,14.0,14.0,6100,TJC
2025-10-21,15.3,15.3,15.3,15.3,100,TJC
2025-10-23,16.8,16.8,13.8,16.6,500,TJC
2025-10-28,15.0,15.0,15.0,15.0,4400,TJC
2025-10-30,13.6,13.6,13.6,13.6,100,TJC
2025-10-31,13.7,13.7,13.7,13.7,100,TJC
