time,open,high,low,close,volume,symbol
2025-08-19,63.0,63.8,63.0,63.8,8200,TMB
2025-08-20,63.0,63.5,63.0,63.3,4600,TMB
2025-08-21,63.3,63.5,62.9,63.0,31100,TMB
2025-08-22,63.3,63.3,62.3,62.8,6200,TMB
2025-08-25,62.5,62.5,61.7,61.8,3800,TMB
2025-08-26,61.7,62.0,61.7,62.0,1400,TMB
2025-08-27,62.9,62.9,61.8,62.0,6100,TMB
2025-08-28,62.0,62.0,62.0,62.0,5000,TMB
2025-08-29,62.0,62.0,61.7,62.0,3900,TMB
2025-09-03,62.0,62.0,61.9,61.9,1600,TMB
2025-09-04,61.9,61.9,61.8,61.8,3000,TMB
2025-09-05,61.7,62.8,61.7,62.8,16300,TMB
2025-09-08,62.8,62.8,62.0,62.3,1800,TMB
2025-09-09,62.0,62.0,61.5,62.0,2400,TMB
2025-09-10,61.9,62.2,61.5,62.0,2200,TMB
2025-09-11,61.7,62.3,61.0,62.3,4400,TMB
2025-09-12,62.0,62.0,61.1,62.0,1000,TMB
2025-09-15,61.7,62.0,61.7,62.0,900,TMB
2025-09-16,62.0,63.5,62.0,62.5,3600,TMB
2025-09-17,62.5,62.5,62.0,62.0,3500,TMB
2025-09-18,62.0,62.5,61.6,62.0,9100,TMB
2025-09-19,62.0,62.0,62.0,62.0,2700,TMB
2025-09-22,61.7,61.7,61.6,61.6,1200,TMB
2025-09-23,61.6,61.7,61.6,61.7,2000,TMB
2025-09-24,61.5,62.2,61.5,61.7,700,TMB
2025-09-25,61.6,62.2,61.4,61.5,2800,TMB
2025-09-26,61.4,62.0,61.3,61.3,3700,TMB
2025-09-29,61.4,61.4,61.3,61.3,7500,TMB
2025-09-30,61.3,61.3,60.7,60.7,4600,TMB
2025-10-01,60.7,60.7,60.5,60.5,2100,TMB
2025-10-02,61.0,61.8,61.0,61.8,7300,TMB
2025-10-03,61.0,61.0,61.0,61.0,100,TMB
2025-10-06,61.0,61.6,61.0,61.6,700,TMB
2025-10-07,61.6,61.6,61.0,61.0,1600,TMB
2025-10-09,61.1,61.1,61.0,61.0,400,TMB
2025-10-10,61.7,61.7,61.4,61.4,4500,TMB
2025-10-13,61.4,61.4,61.4,61.4,200,TMB
2025-10-14,61.4,61.4,61.0,61.0,1200,TMB
2025-10-15,60.6,61.2,60.6,61.2,200,TMB
2025-10-16,60.6,60.6,59.5,59.9,4000,TMB
2025-10-20,59.7,59.7,57.5,59.1,1900,TMB
2025-10-21,58.0,58.0,55.5,57.0,3900,TMB
2025-10-22,57.0,57.5,57.0,57.1,2700,TMB
2025-10-23,57.0,57.0,56.9,56.9,200,TMB
2025-10-24,55.5,58.7,55.5,58.7,2300,TMB
2025-10-27,58.7,58.7,57.5,57.5,1300,TMB
2025-10-28,57.0,57.0,57.0,57.0,400,TMB
2025-10-29,57.0,57.3,57.0,57.3,6900,TMB
2025-10-30,55.4,56.0,54.0,55.0,19900,TMB
2025-10-31,55.6,58.0,55.0,58.0,5900,TMB
