time,open,high,low,close,volume,symbol
2025-06-02,7.2,7.2,6.8,7.1,7500,TMC
2025-06-03,7.5,7.5,7.4,7.5,1000,TMC
2025-06-04,7.4,7.4,7.4,7.4,200,TMC
2025-06-05,7.4,7.4,7.4,7.4,300,TMC
2025-06-09,7.5,7.5,7.5,7.5,400,TMC
2025-06-10,7.3,7.5,7.3,7.5,200,TMC
2025-06-13,7.4,8.2,7.4,8.2,300,TMC
2025-06-18,8.1,8.1,8.1,8.1,500,TMC
2025-06-20,7.6,7.6,7.6,7.6,100,TMC
2025-06-23,8.0,8.0,7.6,7.6,200,TMC
2025-06-24,7.6,7.6,7.6,7.6,100,TMC
2025-06-25,7.6,7.6,7.6,7.6,100,TMC
2025-06-26,7.8,7.8,7.8,7.8,100,TMC
2025-06-30,7.6,7.6,7.6,7.6,100,TMC
2025-07-01,7.5,7.5,7.5,7.5,400,TMC
2025-07-02,7.6,7.6,7.6,7.6,200,TMC
2025-07-08,8.0,8.0,8.0,8.0,100,TMC
2025-07-10,7.9,7.9,7.9,7.9,100,TMC
2025-07-15,7.5,7.5,7.5,7.5,100,TMC
2025-07-17,7.7,7.8,7.7,7.8,300,TMC
2025-07-18,7.7,8.0,7.7,8.0,10100,TMC
2025-07-21,7.8,7.8,7.8,7.8,500,TMC
2025-07-22,8.0,8.0,8.0,8.0,100,TMC
2025-07-24,8.0,8.1,8.0,8.1,500,TMC
2025-07-28,8.1,8.1,8.1,8.1,1000,TMC
2025-08-08,7.6,7.6,7.6,7.6,300,TMC
2025-08-11,7.6,7.6,7.5,7.5,1000,TMC
2025-08-12,7.7,7.8,7.6,7.8,600,TMC
2025-08-13,7.8,7.8,7.8,7.8,100,TMC
2025-08-14,8.0,8.0,7.9,7.9,1300,TMC
2025-08-19,7.9,7.9,7.9,7.9,1100,TMC
2025-08-20,7.7,7.8,7.7,7.8,700,TMC
2025-08-22,7.8,7.8,7.8,7.8,300,TMC
2025-08-25,8.0,8.0,8.0,8.0,2000,TMC
2025-09-03,7.9,7.9,7.9,7.9,2800,TMC
2025-09-11,7.9,7.9,7.9,7.9,2700,TMC
2025-09-12,7.9,7.9,7.9,7.9,200,TMC
2025-09-16,7.8,7.8,7.5,7.5,6300,TMC
2025-09-17,7.5,7.6,7.5,7.6,600,TMC
2025-09-19,7.6,7.6,7.6,7.6,1100,TMC
2025-09-22,7.6,7.6,7.6,7.6,400,TMC
2025-09-23,7.6,7.6,7.6,7.6,1500,TMC
2025-09-30,7.7,7.7,7.7,7.7,100,TMC
2025-10-01,7.7,7.7,7.7,7.7,300,TMC
2025-10-08,7.6,7.6,7.6,7.6,100,TMC
2025-10-14,7.5,7.5,7.5,7.5,400,TMC
2025-10-16,7.5,7.5,7.5,7.5,600,TMC
2025-10-17,7.5,7.5,7.5,7.5,1400,TMC
2025-10-21,7.0,7.0,7.0,7.0,2200,TMC
2025-10-22,7.0,7.0,7.0,7.0,100,TMC
