time,open,high,low,close,volume,symbol
2025-08-21,8.8,8.89,8.72,8.79,340200,TVB
2025-08-22,8.75,8.79,8.5,8.63,313500,TVB
2025-08-25,8.63,8.65,8.4,8.5,73300,TVB
2025-08-26,8.4,8.6,8.4,8.56,153300,TVB
2025-08-27,9.09,9.15,8.75,9.15,1035700,TVB
2025-08-28,9.79,9.79,9.79,9.79,290100,TVB
2025-08-29,10.45,10.45,10.45,10.45,349100,TVB
2025-09-03,11.15,11.15,10.5,10.7,877700,TVB
2025-09-04,11.1,11.1,10.0,10.35,424100,TVB
2025-09-05,10.65,10.65,10.0,10.0,478100,TVB
2025-09-08,10.15,10.5,10.0,10.1,487200,TVB
2025-09-09,10.3,10.3,9.76,10.1,402200,TVB
2025-09-10,10.4,10.4,9.79,9.99,149200,TVB
2025-09-11,9.99,9.99,9.36,9.7,347400,TVB
2025-09-12,9.81,10.0,9.7,9.97,192200,TVB
2025-09-15,9.99,10.2,9.89,9.89,166000,TVB
2025-09-16,10.0,10.0,9.83,9.84,100400,TVB
2025-09-17,9.85,9.85,9.7,9.71,130900,TVB
2025-09-18,9.73,9.75,9.65,9.72,58700,TVB
2025-09-19,9.72,9.8,9.4,9.74,43100,TVB
2025-09-22,9.76,9.76,9.4,9.5,117200,TVB
2025-09-23,9.4,9.65,9.4,9.45,58600,TVB
2025-09-24,9.45,9.8,9.4,9.77,47100,TVB
2025-09-25,9.77,9.85,9.48,9.52,47900,TVB
2025-09-26,9.51,9.62,9.51,9.54,57500,TVB
2025-09-29,9.54,9.54,8.88,9.4,80900,TVB
2025-09-30,9.4,9.4,9.01,9.22,77500,TVB
2025-10-01,9.14,9.48,9.14,9.38,22500,TVB
2025-10-02,9.38,9.4,9.3,9.3,37200,TVB
2025-10-03,9.16,9.45,9.03,9.45,73900,TVB
2025-10-06,9.44,9.9,9.4,9.82,75900,TVB
2025-10-07,9.82,10.05,9.71,9.83,204700,TVB
2025-10-08,9.86,9.88,9.73,9.78,56500,TVB
2025-10-09,9.8,9.8,9.5,9.55,318800,TVB
2025-10-10,9.55,9.8,9.44,9.65,130400,TVB
2025-10-13,9.5,9.57,9.45,9.55,40900,TVB
2025-10-14,9.6,9.69,9.42,9.5,60300,TVB
2025-10-15,9.5,9.52,9.45,9.45,14000,TVB
2025-10-16,9.45,9.47,9.36,9.42,156200,TVB
2025-10-17,9.42,9.57,9.3,9.5,93400,TVB
2025-10-20,9.3,9.6,8.84,8.84,145000,TVB
2025-10-21,9.29,9.29,8.26,8.87,79800,TVB
2025-10-22,8.87,9.35,8.44,8.91,23100,TVB
2025-10-23,8.91,8.91,8.3,8.9,36900,TVB
2025-10-24,8.9,8.9,8.36,8.8,11500,TVB
2025-10-27,8.77,8.78,8.65,8.68,19200,TVB
2025-10-28,8.65,8.89,8.45,8.6,59600,TVB
2025-10-29,9.0,9.0,8.52,8.8,20000,TVB
2025-10-30,8.9,8.9,8.56,8.78,31800,TVB
2025-10-31,8.78,8.78,8.6,8.7,18900,TVB
