time,open,high,low,close,volume,symbol
2025-08-21,9.7,9.9,9.7,9.9,1070100,TVC
2025-08-22,9.9,9.9,9.6,9.8,954500,TVC
2025-08-25,9.8,9.9,9.5,9.7,362500,TVC
2025-08-26,9.6,9.9,9.6,9.8,263100,TVC
2025-08-27,9.8,10.7,9.8,10.7,2210500,TVC
2025-08-28,11.7,11.7,10.9,11.2,1400900,TVC
2025-08-29,11.3,11.6,11.2,11.2,1046000,TVC
2025-09-03,11.4,11.6,11.3,11.3,1105300,TVC
2025-09-04,11.3,11.4,11.0,11.1,938000,TVC
2025-09-05,11.1,11.6,11.1,11.2,1053300,TVC
2025-09-08,11.2,11.4,11.1,11.2,1215800,TVC
2025-09-09,11.2,11.3,10.9,11.2,678300,TVC
2025-09-10,11.2,11.4,10.9,10.9,438600,TVC
2025-09-11,11.0,11.5,10.4,11.3,2266900,TVC
2025-09-12,11.4,11.4,11.0,11.2,351000,TVC
2025-09-15,11.2,11.3,11.0,11.1,458500,TVC
2025-09-16,11.1,11.2,10.9,10.9,521100,TVC
2025-09-17,10.9,11.0,10.7,10.8,385600,TVC
2025-09-18,10.7,11.0,10.7,10.7,248300,TVC
2025-09-19,10.9,10.9,10.7,10.9,274200,TVC
2025-09-22,10.9,10.9,10.6,10.7,531000,TVC
2025-09-23,10.7,11.1,10.7,11.0,748800,TVC
2025-09-24,11.1,11.1,10.8,10.9,223600,TVC
2025-09-25,11.0,11.2,10.9,10.9,193200,TVC
2025-09-26,10.9,11.2,10.8,11.1,456400,TVC
2025-09-29,11.2,11.2,10.9,11.0,356300,TVC
2025-09-30,11.0,11.0,10.7,10.9,255800,TVC
2025-10-01,10.9,11.4,10.9,11.2,751200,TVC
2025-10-02,11.2,11.3,11.0,11.0,239900,TVC
2025-10-03,11.1,11.1,10.8,10.8,254600,TVC
2025-10-06,10.8,11.4,10.8,11.4,1141500,TVC
2025-10-07,11.4,12.1,11.4,11.8,2237600,TVC
2025-10-08,12.1,12.2,11.7,11.9,447500,TVC
2025-10-09,11.9,12.0,11.8,11.9,699600,TVC
2025-10-10,11.8,12.0,11.8,11.8,740600,TVC
2025-10-13,11.8,12.0,11.5,11.9,750200,TVC
2025-10-14,11.8,11.9,11.7,11.8,1310200,TVC
2025-10-15,11.8,11.9,11.7,11.8,919500,TVC
2025-10-16,11.8,12.2,11.7,12.2,704900,TVC
2025-10-17,12.2,12.2,12.0,12.0,566200,TVC
2025-10-20,12.0,12.6,11.5,11.8,1392700,TVC
2025-10-21,11.7,11.8,11.3,11.7,935000,TVC
2025-10-22,11.8,11.8,11.4,11.8,259200,TVC
2025-10-23,11.7,12.0,11.5,11.8,979500,TVC
2025-10-24,11.8,12.0,11.6,11.7,868800,TVC
2025-10-27,11.7,11.7,11.5,11.6,168500,TVC
2025-10-28,11.5,11.7,11.4,11.6,230200,TVC
2025-10-29,11.6,11.9,11.5,11.6,786000,TVC
2025-10-30,11.6,11.9,11.5,11.6,1655100,TVC
2025-10-31,11.6,11.6,11.2,11.5,1068300,TVC
