time,open,high,low,close,volume,symbol
2025-08-21,8.5,8.7,8.3,8.5,659400,TVN
2025-08-22,8.3,8.4,7.8,7.9,976400,TVN
2025-08-25,8.0,8.2,7.9,8.0,215400,TVN
2025-08-26,8.0,8.3,8.0,8.3,285700,TVN
2025-08-27,8.3,8.3,8.0,8.0,239300,TVN
2025-08-28,8.1,8.3,8.1,8.2,332900,TVN
2025-08-29,8.1,8.4,8.0,8.2,300500,TVN
2025-09-03,8.2,8.8,8.1,8.6,1428000,TVN
2025-09-04,8.6,9.1,8.3,9.0,1770400,TVN
2025-09-05,9.0,9.1,8.6,8.7,1253500,TVN
2025-09-08,8.7,8.8,8.4,8.4,826100,TVN
2025-09-09,8.6,8.6,8.2,8.4,460700,TVN
2025-09-10,8.4,8.4,8.2,8.4,214700,TVN
2025-09-11,8.4,8.5,8.1,8.4,762800,TVN
2025-09-12,8.5,8.8,8.5,8.6,545400,TVN
2025-09-15,8.7,9.4,8.7,9.1,2374200,TVN
2025-09-16,9.1,9.3,8.8,8.9,616900,TVN
2025-09-17,8.9,9.2,8.6,8.8,973200,TVN
2025-09-18,8.8,8.9,8.6,8.8,574400,TVN
2025-09-19,8.8,9.0,8.6,8.7,454800,TVN
2025-09-22,8.7,8.7,8.4,8.6,459500,TVN
2025-09-23,8.5,8.6,8.4,8.6,236100,TVN
2025-09-24,8.5,8.6,8.4,8.6,229100,TVN
2025-09-25,8.6,8.7,8.4,8.5,515800,TVN
2025-09-26,8.5,8.6,8.1,8.2,1032800,TVN
2025-09-29,8.3,8.4,8.1,8.2,409400,TVN
2025-09-30,8.3,8.3,8.0,8.2,280700,TVN
2025-10-01,8.2,8.3,8.0,8.2,228400,TVN
2025-10-02,8.2,8.3,8.1,8.1,141700,TVN
2025-10-03,8.1,8.1,7.9,8.0,790400,TVN
2025-10-06,8.0,8.4,8.0,8.3,272200,TVN
2025-10-07,8.3,8.3,8.0,8.1,212800,TVN
2025-10-08,8.2,8.3,8.1,8.2,246100,TVN
2025-10-09,8.2,8.2,8.1,8.2,228500,TVN
2025-10-10,8.2,8.3,8.1,8.2,308900,TVN
2025-10-13,8.2,8.2,8.0,8.2,136500,TVN
2025-10-14,8.2,8.2,7.9,8.0,378100,TVN
2025-10-15,7.9,8.0,7.8,7.9,373800,TVN
2025-10-16,7.9,8.0,7.8,7.9,197500,TVN
2025-10-17,7.9,8.1,7.8,7.9,354800,TVN
2025-10-20,7.9,7.9,7.3,7.5,491300,TVN
2025-10-21,7.5,7.6,7.2,7.5,325100,TVN
2025-10-22,7.5,7.7,7.3,7.6,223000,TVN
2025-10-23,7.7,7.7,7.5,7.6,59200,TVN
2025-10-24,7.6,7.7,7.5,7.5,133700,TVN
2025-10-27,7.6,7.6,7.4,7.6,87800,TVN
2025-10-28,7.5,7.7,7.5,7.7,141600,TVN
2025-10-29,7.7,7.8,7.6,7.8,143300,TVN
2025-10-30,7.8,8.2,7.7,8.2,704600,TVN
2025-10-31,8.1,8.2,8.0,8.0,386100,TVN
