time,open,high,low,close,volume,symbol
2025-08-21,34.2,34.38,34.11,34.29,490898,VEA
2025-08-22,34.29,34.38,34.11,34.11,651521,VEA
2025-08-25,34.2,34.47,34.2,34.38,506382,VEA
2025-08-26,34.29,34.64,34.29,34.64,572357,VEA
2025-08-27,34.55,34.91,34.47,34.82,807534,VEA
2025-08-28,34.82,35.27,34.73,35.0,606246,VEA
2025-08-29,35.0,35.0,34.64,34.91,493411,VEA
2025-09-03,34.91,34.91,34.64,34.82,516613,VEA
2025-09-04,34.82,34.91,34.73,34.73,715933,VEA
2025-09-05,34.82,35.09,34.73,34.82,1478249,VEA
2025-09-08,34.91,35.18,34.82,34.91,1107963,VEA
2025-09-09,35.0,35.09,34.73,34.91,479114,VEA
2025-09-10,35.09,35.35,34.47,34.91,498483,VEA
2025-09-11,34.91,35.0,34.73,34.91,697044,VEA
2025-09-12,35.0,36.06,34.91,35.62,1651103,VEA
2025-09-15,35.71,35.8,35.35,35.53,384642,VEA
2025-09-16,35.53,35.71,35.18,35.35,474351,VEA
2025-09-17,35.44,35.44,35.09,35.09,558951,VEA
2025-09-18,35.18,35.27,35.0,35.27,392504,VEA
2025-09-19,35.27,35.35,35.0,35.0,494972,VEA
2025-09-22,35.18,35.18,34.55,34.82,558566,VEA
2025-09-23,34.82,35.0,34.64,34.73,687266,VEA
2025-09-24,34.82,35.0,34.73,34.91,300593,VEA
2025-09-25,35.0,35.18,34.91,35.18,359360,VEA
2025-09-26,35.18,35.18,34.91,35.0,267176,VEA
2025-09-29,35.09,35.18,34.91,35.0,352523,VEA
2025-09-30,35.0,35.09,34.73,34.91,536425,VEA
2025-10-01,34.82,35.09,34.82,35.09,218764,VEA
2025-10-02,35.0,35.18,34.82,34.91,298873,VEA
2025-10-03,35.0,35.09,34.82,35.0,289224,VEA
2025-10-06,35.0,35.44,34.91,35.35,505784,VEA
2025-10-07,35.35,35.53,35.18,35.35,213621,VEA
2025-10-08,35.35,35.53,35.27,35.53,255434,VEA
2025-10-09,35.44,35.62,35.44,35.62,285542,VEA
2025-10-10,35.53,35.62,35.44,35.62,369977,VEA
2025-10-13,35.62,35.62,35.09,35.18,335169,VEA
2025-10-14,35.18,35.35,35.09,35.27,373786,VEA
2025-10-15,35.18,35.27,35.18,35.27,287645,VEA
2025-10-16,35.18,35.53,35.09,35.35,416903,VEA
2025-10-17,35.53,35.53,35.18,35.35,369248,VEA
2025-10-20,35.35,35.35,34.55,34.64,763402,VEA
2025-10-21,35.0,35.0,34.55,34.82,596261,VEA
2025-10-22,34.82,35.0,34.64,34.91,206534,VEA
2025-10-23,34.91,35.18,34.91,35.09,353869,VEA
2025-10-24,35.09,35.18,34.91,35.18,186516,VEA
2025-10-27,35.18,35.18,35.0,35.09,318245,VEA
2025-10-28,35.09,35.18,35.0,35.09,398490,VEA
2025-10-29,35.09,35.71,33.13,35.62,668895,VEA
2025-10-30,35.71,37.31,35.62,36.51,1355313,VEA
2025-10-31,36.51,37.22,36.33,36.6,661312,VEA
