time,open,high,low,close,volume,symbol
2025-08-21,128.73,128.81,126.43,127.67,13782,VEF
2025-08-22,127.83,135.14,127.83,133.82,23145,VEF
2025-08-25,134.15,135.38,131.77,132.26,4373,VEF
2025-08-26,132.84,134.89,132.84,134.64,11141,VEF
2025-08-27,133.91,146.14,133.82,139.57,10885,VEF
2025-08-28,139.57,139.57,138.67,138.75,6504,VEF
2025-08-29,138.75,138.75,132.26,133.08,26560,VEF
2025-09-03,134.64,136.53,133.17,136.53,14445,VEF
2025-09-04,135.05,136.86,135.05,135.46,6142,VEF
2025-09-05,135.63,135.63,133.99,133.99,12801,VEF
2025-09-08,136.2,136.29,130.54,130.54,21856,VEF
2025-09-09,134.64,134.64,128.81,131.36,9506,VEF
2025-09-10,130.13,134.15,128.9,129.88,37492,VEF
2025-09-11,130.13,132.18,128.9,132.18,11320,VEF
2025-09-12,130.54,135.05,130.54,133.82,7425,VEF
2025-09-15,133.41,135.22,133.41,135.22,9845,VEF
2025-09-16,135.46,135.46,134.64,135.3,12059,VEF
2025-09-17,134.97,135.46,134.89,135.05,4521,VEF
2025-09-18,135.05,135.05,132.18,135.05,23566,VEF
2025-09-19,133.82,136.29,133.49,135.46,9706,VEF
2025-09-22,136.29,145.15,136.29,145.15,46927,VEF
2025-09-23,146.96,155.99,146.96,151.15,63550,VEF
2025-09-24,151.15,155.17,147.78,149.42,24194,VEF
2025-09-25,149.42,151.06,148.6,150.98,25070,VEF
2025-09-26,150.65,151.39,148.68,150.49,19923,VEF
2025-09-29,151.8,151.88,150.24,151.88,19105,VEF
2025-09-30,150.65,152.46,150.33,150.65,15287,VEF
2025-10-01,150.65,151.88,150.24,151.06,19033,VEF
2025-10-02,150.41,152.62,150.41,151.47,14855,VEF
2025-10-03,151.47,152.21,148.11,149.91,10601,VEF
2025-10-06,151.06,151.31,148.85,149.75,10403,VEF
2025-10-07,149.75,149.75,148.6,148.6,14249,VEF
2025-10-08,149.01,149.83,148.6,149.26,53941,VEF
2025-10-09,149.34,150.65,147.53,150.16,18460,VEF
2025-10-10,149.83,149.83,148.6,149.5,9226,VEF
2025-10-13,149.83,159.27,149.83,156.81,51027,VEF
2025-10-14,159.27,161.74,158.45,158.86,30472,VEF
2025-10-15,159.27,160.67,154.43,155.99,89358,VEF
2025-10-16,157.63,157.63,155.17,156.48,22816,VEF
2025-10-17,157.22,159.68,156.07,156.07,46667,VEF
2025-10-20,159.27,160.01,152.05,152.95,73274,VEF
2025-10-21,155.99,156.98,149.83,151.06,97725,VEF
2025-10-22,149.0,150.0,144.0,145.8,31723,VEF
2025-10-23,146.0,151.7,144.4,145.0,37135,VEF
2025-10-24,147.0,147.0,137.5,138.0,49344,VEF
2025-10-27,139.8,139.8,134.9,134.9,33258,VEF
2025-10-28,136.0,136.0,128.8,132.5,67271,VEF
2025-10-29,132.5,134.5,132.2,133.9,18563,VEF
2025-10-30,134.5,142.0,134.5,138.3,28265,VEF
2025-10-31,138.0,139.5,134.5,134.6,21708,VEF
