time,open,high,low,close,volume,symbol
2025-08-21,19.6,19.8,19.1,19.6,2530300,VFS
2025-08-22,19.6,19.6,18.7,19.4,5109600,VFS
2025-08-25,19.4,19.6,18.8,19.3,1952200,VFS
2025-08-26,19.3,19.9,19.0,19.9,3829000,VFS
2025-08-27,19.9,20.4,19.8,20.0,5620700,VFS
2025-08-28,20.0,20.3,19.5,20.0,2994800,VFS
2025-08-29,20.0,21.9,20.0,20.9,7261200,VFS
2025-09-03,21.0,21.3,20.2,20.4,1924900,VFS
2025-09-04,20.5,20.7,20.2,20.3,1344100,VFS
2025-09-05,20.5,20.8,19.8,19.8,2419200,VFS
2025-09-08,19.8,19.9,19.2,19.2,3657700,VFS
2025-09-09,19.2,19.5,19.0,19.5,2002600,VFS
2025-09-10,19.5,19.8,19.3,19.7,2172100,VFS
2025-09-11,19.7,20.0,19.2,20.0,2292900,VFS
2025-09-12,20.0,20.6,19.8,20.0,2678800,VFS
2025-09-15,20.1,20.5,19.7,20.2,2200100,VFS
2025-09-16,20.2,20.6,19.9,20.1,3102400,VFS
2025-09-17,20.0,20.3,19.6,20.1,1782300,VFS
2025-09-18,20.0,20.2,19.6,20.0,2195300,VFS
2025-09-19,19.9,20.0,19.5,19.9,1244400,VFS
2025-09-22,19.8,19.8,19.2,19.2,1704200,VFS
2025-09-23,19.2,19.7,18.9,19.2,2991100,VFS
2025-09-24,19.2,19.4,18.9,19.4,2283200,VFS
2025-09-25,19.3,19.6,19.0,19.0,1623800,VFS
2025-09-26,19.0,19.4,18.9,19.2,2214300,VFS
2025-09-29,18.9,19.3,18.7,19.0,1842400,VFS
2025-09-30,19.0,19.1,18.4,18.9,3382900,VFS
2025-10-01,18.8,19.1,18.4,18.9,2328500,VFS
2025-10-02,18.6,19.0,18.2,18.7,3202700,VFS
2025-10-03,18.7,18.7,17.9,17.9,2780400,VFS
2025-10-06,17.9,18.7,17.8,18.6,2055200,VFS
2025-10-07,18.8,18.9,18.1,18.3,3302500,VFS
2025-10-08,18.6,18.9,18.3,18.5,2034500,VFS
2025-10-09,18.5,18.8,18.0,18.5,3069200,VFS
2025-10-10,18.5,18.6,17.7,17.7,5573900,VFS
2025-10-13,17.7,17.9,17.0,17.3,2321100,VFS
2025-10-14,17.3,17.7,17.0,17.7,4090400,VFS
2025-10-15,17.7,17.8,17.3,17.5,1112200,VFS
2025-10-16,17.5,17.6,17.1,17.6,1347600,VFS
2025-10-17,18.4,18.4,17.3,17.8,3230800,VFS
2025-10-20,17.6,17.9,16.6,16.7,1852200,VFS
2025-10-21,16.6,17.4,16.0,17.4,3348200,VFS
2025-10-22,17.3,17.4,16.8,17.4,1411700,VFS
2025-10-23,17.3,17.5,16.7,17.4,2559500,VFS
2025-10-24,17.3,17.5,16.7,17.3,2561300,VFS
2025-10-27,17.3,17.4,17.0,17.3,1054300,VFS
2025-10-28,17.3,17.3,16.6,17.2,3435800,VFS
2025-10-29,17.2,17.2,16.7,16.9,1295000,VFS
2025-10-30,16.9,16.9,16.5,16.5,939600,VFS
2025-10-31,16.5,16.8,16.5,16.7,1314400,VFS
