time,open,high,low,close,volume,symbol
2025-08-21,74.36,74.75,72.77,73.17,757979,VGI
2025-08-22,73.27,74.75,71.98,72.18,690001,VGI
2025-08-25,77.23,77.23,72.08,72.38,286505,VGI
2025-08-26,72.67,73.47,72.08,73.17,380267,VGI
2025-08-27,73.17,74.55,73.17,74.26,325287,VGI
2025-08-28,74.26,74.95,73.47,73.56,204272,VGI
2025-08-29,73.96,74.65,72.28,72.97,455947,VGI
2025-09-03,72.97,74.26,72.97,73.76,260998,VGI
2025-09-04,73.76,75.64,73.76,75.05,531727,VGI
2025-09-05,75.15,75.84,74.26,74.46,427213,VGI
2025-09-08,75.0,75.3,71.8,72.0,498653,VGI
2025-09-09,72.9,73.0,71.2,72.0,455981,VGI
2025-09-10,72.0,72.9,71.1,71.7,250530,VGI
2025-09-11,71.7,71.7,69.3,70.6,487662,VGI
2025-09-12,70.6,71.0,70.2,71.0,175747,VGI
2025-09-15,71.0,72.7,71.0,72.7,320442,VGI
2025-09-16,72.7,72.9,71.6,72.0,285925,VGI
2025-09-17,72.0,74.7,71.7,72.5,384993,VGI
2025-09-18,73.2,73.4,71.4,71.7,237071,VGI
2025-09-19,71.7,72.3,71.1,71.3,162200,VGI
2025-09-22,71.3,71.8,70.0,70.0,310800,VGI
2025-09-23,70.4,71.0,70.0,70.3,137800,VGI
2025-09-24,70.4,70.5,69.8,70.5,156700,VGI
2025-09-25,70.5,71.1,70.0,70.2,97900,VGI
2025-09-26,70.2,70.5,69.5,69.8,249900,VGI
2025-09-29,70.0,70.0,69.0,69.3,186800,VGI
2025-09-30,69.3,69.4,67.8,68.0,282300,VGI
2025-10-01,68.0,69.0,68.0,68.4,84800,VGI
2025-10-02,68.4,69.5,68.0,68.1,126100,VGI
2025-10-03,68.0,68.3,67.0,67.3,168100,VGI
2025-10-06,67.4,69.3,67.3,69.2,146400,VGI
2025-10-07,69.1,69.4,68.1,68.5,113600,VGI
2025-10-08,68.9,70.3,68.2,68.7,133500,VGI
2025-10-09,68.9,69.0,67.9,68.5,178000,VGI
2025-10-10,68.5,69.4,68.0,68.7,237500,VGI
2025-10-13,68.7,68.7,66.0,67.9,200200,VGI
2025-10-14,67.8,68.8,66.5,67.0,372200,VGI
2025-10-15,67.0,67.9,65.6,65.6,412900,VGI
2025-10-16,65.6,66.5,64.5,65.0,391500,VGI
2025-10-17,65.0,65.9,65.0,65.3,281300,VGI
2025-10-20,65.3,72.0,65.3,68.4,1039600,VGI
2025-10-21,69.0,71.5,67.0,70.5,734600,VGI
2025-10-22,70.5,71.3,67.6,68.8,425000,VGI
2025-10-23,69.5,69.6,67.4,67.5,361800,VGI
2025-10-24,67.8,72.9,67.8,70.9,973600,VGI
2025-10-27,71.2,72.5,71.1,71.1,577600,VGI
2025-10-28,71.1,71.8,68.9,70.5,458700,VGI
2025-10-29,59.5,70.5,59.5,70.1,323100,VGI
2025-10-30,59.5,76.3,59.5,75.4,2260700,VGI
2025-10-31,75.3,81.6,75.0,79.4,3378800,VGI
