time,open,high,low,close,volume,symbol
2025-08-21,122.2,126.8,122.0,125.0,4069100,VIC
2025-08-22,122.0,127.5,122.0,124.1,5032500,VIC
2025-08-25,124.0,132.6,123.5,131.0,3813100,VIC
2025-08-26,131.0,139.9,129.0,135.5,2595000,VIC
2025-08-27,133.2,135.6,132.0,132.0,2351500,VIC
2025-08-28,132.2,134.0,130.0,130.1,2178800,VIC
2025-08-29,131.1,132.5,128.1,128.3,2470800,VIC
2025-09-03,127.1,128.2,124.5,125.0,2287100,VIC
2025-09-04,125.0,126.0,123.0,125.0,1988700,VIC
2025-09-05,125.2,129.8,125.0,125.0,2141000,VIC
2025-09-08,125.1,128.0,125.0,125.0,2203500,VIC
2025-09-09,125.0,129.6,124.1,129.2,2659700,VIC
2025-09-10,129.2,131.0,127.0,130.9,1985100,VIC
2025-09-11,130.0,137.5,129.1,136.0,3017000,VIC
2025-09-12,136.0,138.1,134.1,137.8,1964200,VIC
2025-09-15,137.7,137.8,134.8,137.8,2142000,VIC
2025-09-16,137.8,137.8,133.9,135.0,2920100,VIC
2025-09-17,133.5,143.9,133.4,143.1,3984900,VIC
2025-09-18,143.5,149.9,141.5,145.0,4389200,VIC
2025-09-19,145.0,153.2,143.0,153.2,5615300,VIC
2025-09-22,149.7,154.2,143.9,148.8,5112200,VIC
2025-09-23,148.0,150.1,145.6,149.2,1426200,VIC
2025-09-24,149.0,152.0,145.6,149.0,1753900,VIC
2025-09-25,149.0,158.0,146.9,158.0,2820700,VIC
2025-09-26,158.0,164.9,156.0,164.0,2709300,VIC
2025-09-29,162.3,174.8,161.0,172.8,2445600,VIC
2025-09-30,173.5,183.0,173.5,174.9,4674600,VIC
2025-10-01,174.9,175.0,167.8,170.0,2643100,VIC
2025-10-02,168.8,175.7,168.8,171.0,2381100,VIC
2025-10-03,172.0,179.3,171.1,176.5,4892400,VIC
2025-10-06,186.8,186.8,176.5,179.7,2398200,VIC
2025-10-07,181.1,182.0,178.0,180.0,2368100,VIC
2025-10-08,179.0,180.9,175.2,178.1,3256600,VIC
2025-10-09,177.0,181.6,176.3,179.5,4131300,VIC
2025-10-10,178.5,192.0,178.5,192.0,4294700,VIC
2025-10-13,193.9,205.4,193.9,205.4,7178300,VIC
2025-10-14,215.9,219.7,206.9,211.9,8065500,VIC
2025-10-15,214.1,214.9,206.0,209.5,3752400,VIC
2025-10-16,210.0,217.6,205.9,213.1,5217400,VIC
2025-10-17,214.1,214.6,199.9,204.0,5615100,VIC
2025-10-20,200.0,204.5,190.0,194.9,5671000,VIC
2025-10-21,202.0,204.9,193.7,203.4,3700400,VIC
2025-10-22,204.0,204.0,193.0,203.0,4196300,VIC
2025-10-23,202.9,215.5,200.0,215.0,4761200,VIC
2025-10-24,215.4,222.9,215.1,219.0,3412900,VIC
2025-10-27,222.9,226.5,214.0,214.0,3889100,VIC
2025-10-28,213.5,220.6,199.1,220.1,5205500,VIC
2025-10-29,219.0,219.0,211.9,212.0,2739200,VIC
2025-10-30,210.5,211.8,201.5,204.1,3772500,VIC
2025-10-31,202.0,203.7,191.0,191.0,7461600,VIC
