time,open,high,low,close,volume,symbol
2025-08-21,7.7,7.9,7.5,7.6,1087300,VIG
2025-08-22,7.5,7.6,6.9,7.0,1280200,VIG
2025-08-25,7.0,7.2,6.9,7.1,668000,VIG
2025-08-26,7.1,7.4,7.0,7.4,470800,VIG
2025-08-27,7.5,7.6,7.2,7.3,536100,VIG
2025-08-28,7.3,7.9,7.3,7.7,1285100,VIG
2025-08-29,7.8,8.4,7.8,8.0,2206900,VIG
2025-09-03,8.0,8.5,7.7,7.9,675100,VIG
2025-09-04,7.9,8.1,7.8,8.1,1147500,VIG
2025-09-05,8.1,8.2,7.8,7.8,1030700,VIG
2025-09-08,7.8,7.8,7.1,7.1,1499500,VIG
2025-09-09,7.3,7.3,7.1,7.3,350800,VIG
2025-09-10,7.3,7.4,7.1,7.3,171700,VIG
2025-09-11,7.3,7.3,7.0,7.2,401800,VIG
2025-09-12,7.3,7.3,7.1,7.3,184700,VIG
2025-09-15,7.3,7.4,7.2,7.4,250000,VIG
2025-09-16,7.4,7.5,7.2,7.3,318500,VIG
2025-09-17,7.3,7.3,7.1,7.2,276000,VIG
2025-09-18,7.2,7.3,7.0,7.1,317800,VIG
2025-09-19,7.1,7.1,7.0,7.0,181000,VIG
2025-09-22,7.0,7.1,6.9,7.0,198400,VIG
2025-09-23,6.9,7.1,6.9,7.0,105700,VIG
2025-09-24,7.0,7.1,6.9,7.1,101600,VIG
2025-09-25,7.1,7.2,7.0,7.1,224600,VIG
2025-09-26,7.0,7.1,6.9,7.0,227100,VIG
2025-09-29,7.0,7.0,6.8,6.9,413700,VIG
2025-09-30,6.9,7.0,6.8,7.0,251800,VIG
2025-10-01,7.0,7.0,6.9,7.0,165600,VIG
2025-10-02,7.0,7.1,6.8,6.9,233600,VIG
2025-10-03,6.8,7.0,6.7,6.8,220200,VIG
2025-10-06,6.8,7.3,6.8,7.2,378400,VIG
2025-10-07,7.2,7.2,7.0,7.0,273500,VIG
2025-10-08,7.1,7.4,6.9,7.0,609200,VIG
2025-10-09,7.0,7.0,6.9,6.9,116000,VIG
2025-10-10,6.9,7.0,6.9,6.9,188400,VIG
2025-10-13,6.8,6.9,6.7,6.9,240900,VIG
2025-10-14,6.8,7.0,6.7,6.8,263600,VIG
2025-10-15,6.8,6.8,6.7,6.7,137400,VIG
2025-10-16,6.7,6.7,6.2,6.2,1062600,VIG
2025-10-17,6.3,6.4,6.2,6.3,187300,VIG
2025-10-20,6.3,6.3,5.7,5.7,472700,VIG
2025-10-21,5.8,6.0,5.6,5.7,368700,VIG
2025-10-22,5.7,6.1,5.7,5.9,219300,VIG
2025-10-23,6.0,6.1,6.0,6.0,107300,VIG
2025-10-24,6.0,6.0,5.8,6.0,185500,VIG
2025-10-27,5.9,6.1,5.9,6.0,45500,VIG
2025-10-28,5.9,6.1,5.9,6.1,73200,VIG
2025-10-29,6.1,6.1,6.0,6.0,189900,VIG
2025-10-30,6.0,6.1,5.8,5.9,186500,VIG
2025-10-31,5.9,6.0,5.9,5.9,40900,VIG
