time,open,high,low,close,volume,symbol
2025-08-21,37.3,37.5,35.0,35.0,33667700,VIX
2025-08-22,34.4,35.5,32.9,34.5,43479600,VIX
2025-08-25,36.45,36.45,32.3,32.6,35657100,VIX
2025-08-26,32.45,34.85,32.3,34.85,32111700,VIX
2025-08-27,36.05,37.25,35.5,36.85,61173100,VIX
2025-08-28,37.0,38.45,35.85,38.4,58098900,VIX
2025-08-29,38.8,39.25,37.65,37.7,64672100,VIX
2025-09-03,37.6,37.85,36.9,37.45,22924900,VIX
2025-09-04,37.85,37.95,37.1,37.5,24527700,VIX
2025-09-05,38.0,38.0,35.5,36.0,38178100,VIX
2025-09-08,35.95,35.95,33.5,33.5,48937200,VIX
2025-09-09,32.6,35.5,31.55,35.5,38455200,VIX
2025-09-10,36.4,36.45,35.15,35.8,33130600,VIX
2025-09-11,35.7,35.7,33.3,34.8,44949800,VIX
2025-09-12,35.05,35.15,34.35,35.0,27309800,VIX
2025-09-15,36.5,37.45,36.0,37.45,49369000,VIX
2025-09-16,39.95,39.95,37.5,38.0,62363500,VIX
2025-09-17,37.5,37.7,36.5,36.5,20204000,VIX
2025-09-18,36.7,37.45,35.7,37.0,27618300,VIX
2025-09-19,37.1,37.5,35.2,35.2,39114500,VIX
2025-09-22,36.0,36.2,33.55,36.15,47687900,VIX
2025-09-23,36.15,37.2,35.75,36.9,23333000,VIX
2025-09-24,37.15,37.15,36.0,37.1,25941200,VIX
2025-09-25,37.3,38.0,37.05,37.25,24967300,VIX
2025-09-26,37.4,37.4,35.95,36.0,22037800,VIX
2025-09-29,36.0,36.7,35.5,36.1,17398800,VIX
2025-09-30,36.5,36.5,35.15,36.1,17665600,VIX
2025-10-01,36.8,37.8,36.55,37.0,31091800,VIX
2025-10-02,37.5,37.5,36.05,36.2,14714700,VIX
2025-10-03,36.1,36.1,35.1,35.5,22114400,VIX
2025-10-06,36.5,37.95,36.0,37.95,44750500,VIX
2025-10-07,38.0,38.9,37.35,37.5,27375700,VIX
2025-10-08,38.5,38.75,36.55,38.1,41788400,VIX
2025-10-09,38.9,38.9,37.6,38.1,31750600,VIX
2025-10-10,38.0,38.7,37.45,37.65,40677300,VIX
2025-10-13,37.05,37.65,36.7,37.5,33204000,VIX
2025-10-14,38.2,40.05,38.1,39.1,76556600,VIX
2025-10-15,39.8,40.2,39.15,39.6,42894900,VIX
2025-10-16,40.05,40.45,39.2,39.55,37095400,VIX
2025-10-17,39.7,40.15,38.25,38.4,42432700,VIX
2025-10-20,38.2,39.0,35.75,35.75,45007500,VIX
2025-10-21,35.55,36.2,33.4,34.7,76646100,VIX
2025-10-22,34.85,35.1,32.5,34.8,35307200,VIX
2025-10-23,35.0,35.0,33.1,33.1,22088700,VIX
2025-10-24,32.75,32.8,30.95,30.95,51360700,VIX
2025-10-27,31.0,32.9,30.8,31.0,56368900,VIX
2025-10-28,31.5,32.0,30.85,32.0,27812200,VIX
2025-10-29,32.05,32.2,31.1,31.5,26712800,VIX
2025-10-30,31.6,31.6,29.3,29.3,65614800,VIX
2025-10-31,29.0,29.9,27.55,28.0,47723100,VIX
