time,open,high,low,close,volume,symbol
2025-08-21,143.7,146.0,140.1,145.8,2763800,VJC
2025-08-22,140.5,145.0,138.0,140.0,2398900,VJC
2025-08-25,140.5,144.5,140.0,142.5,2427600,VJC
2025-08-26,143.0,144.5,141.2,144.0,2017200,VJC
2025-08-27,144.5,145.1,141.8,144.1,2022600,VJC
2025-08-28,144.5,148.2,144.0,145.0,1972700,VJC
2025-08-29,145.6,146.2,142.9,144.5,2058500,VJC
2025-09-03,144.0,144.0,140.0,142.0,2128500,VJC
2025-09-04,142.2,142.2,139.5,140.0,2005200,VJC
2025-09-05,140.1,145.0,140.0,142.0,2084300,VJC
2025-09-08,141.0,142.6,139.2,141.9,2161700,VJC
2025-09-09,142.0,146.6,141.9,145.0,2383000,VJC
2025-09-10,145.5,145.6,141.8,144.9,1971900,VJC
2025-09-11,145.0,146.0,140.5,145.4,2166300,VJC
2025-09-12,145.6,148.5,144.5,146.0,2318100,VJC
2025-09-15,146.5,146.5,143.5,145.6,2238300,VJC
2025-09-16,145.7,147.1,142.0,142.0,2235800,VJC
2025-09-17,142.0,142.5,140.4,142.0,2022300,VJC
2025-09-18,142.1,142.1,139.2,139.8,2103300,VJC
2025-09-19,139.8,139.8,135.0,137.2,2084700,VJC
2025-09-22,136.5,136.7,131.0,135.5,2352000,VJC
2025-09-23,135.6,136.0,132.7,133.0,1763500,VJC
2025-09-24,133.0,134.0,130.4,133.7,1531900,VJC
2025-09-25,134.0,137.3,133.9,135.9,1690500,VJC
2025-09-26,136.1,136.1,132.5,132.5,1761300,VJC
2025-09-29,132.3,132.5,128.4,129.7,1784400,VJC
2025-09-30,129.8,131.5,128.8,129.6,1689700,VJC
2025-10-01,129.4,129.8,128.0,128.0,1675800,VJC
2025-10-02,128.2,131.5,127.4,128.7,1759900,VJC
2025-10-03,128.7,130.0,127.6,129.3,1613800,VJC
2025-10-06,129.5,134.3,129.5,134.3,1702900,VJC
2025-10-07,134.8,134.8,131.7,133.4,1598400,VJC
2025-10-08,135.0,135.0,132.3,133.4,1815000,VJC
2025-10-09,133.5,133.5,131.1,133.1,1712300,VJC
2025-10-10,133.5,134.5,132.0,133.3,1820600,VJC
2025-10-13,131.9,142.6,130.0,142.6,3773100,VJC
2025-10-14,145.5,152.5,143.6,152.5,4715400,VJC
2025-10-15,156.7,163.1,152.8,163.1,3453800,VJC
2025-10-16,164.0,173.5,161.2,173.5,3679500,VJC
2025-10-17,173.6,179.0,169.0,175.0,3068900,VJC
2025-10-20,174.5,180.0,165.6,174.5,3485400,VJC
2025-10-21,174.5,186.7,174.5,180.0,4128300,VJC
2025-10-22,180.5,181.3,177.1,180.2,2921000,VJC
2025-10-23,180.1,185.1,180.1,184.0,2601400,VJC
2025-10-24,184.0,184.5,173.5,180.0,3503900,VJC
2025-10-27,183.0,183.0,170.0,175.3,3024700,VJC
2025-10-28,174.3,187.5,174.3,187.5,3724300,VJC
2025-10-29,189.5,196.5,189.0,195.1,2318200,VJC
2025-10-30,195.1,201.2,192.6,195.5,2386700,VJC
2025-10-31,194.0,194.2,184.5,187.0,2801200,VJC
