time,open,high,low,close,volume,symbol
2025-08-21,18.2,18.7,17.4,18.6,228900,VNB
2025-08-22,18.0,18.0,17.2,17.4,50200,VNB
2025-08-25,17.5,17.5,17.0,17.1,64000,VNB
2025-08-26,17.4,17.7,17.1,17.7,9800,VNB
2025-08-27,17.6,17.6,17.3,17.5,18200,VNB
2025-08-28,17.6,17.7,17.3,17.6,26700,VNB
2025-08-29,17.5,18.1,17.4,17.8,47200,VNB
2025-09-03,17.5,17.7,17.1,17.2,29700,VNB
2025-09-04,17.4,17.8,17.3,17.8,41000,VNB
2025-09-05,17.5,17.8,17.4,17.4,42200,VNB
2025-09-08,17.2,17.2,16.5,17.2,82200,VNB
2025-09-09,16.6,16.9,16.6,16.8,6400,VNB
2025-09-10,16.8,17.2,16.8,17.1,22400,VNB
2025-09-11,16.7,17.5,16.7,17.1,89400,VNB
2025-09-12,16.9,17.4,16.8,17.3,23000,VNB
2025-09-15,17.1,17.6,17.0,17.2,32700,VNB
2025-09-16,17.2,17.5,17.0,17.1,16100,VNB
2025-09-17,17.3,17.3,17.0,17.1,13500,VNB
2025-09-18,17.0,17.3,16.9,16.9,85800,VNB
2025-09-19,17.0,17.1,16.3,17.0,12200,VNB
2025-09-22,16.9,17.1,16.7,16.8,35800,VNB
2025-09-23,16.7,17.1,16.7,16.9,13300,VNB
2025-09-24,16.7,17.0,16.7,16.9,18400,VNB
2025-09-25,16.9,17.0,16.8,16.8,31600,VNB
2025-09-26,16.8,17.1,16.8,16.9,7200,VNB
2025-09-29,16.9,17.2,16.7,16.8,8700,VNB
2025-09-30,17.7,19.0,17.0,18.8,394600,VNB
2025-10-01,18.8,18.8,17.9,18.2,54200,VNB
2025-10-02,18.2,18.7,17.1,17.2,118000,VNB
2025-10-03,17.3,17.5,16.8,16.8,92600,VNB
2025-10-06,16.9,17.3,16.8,17.2,54800,VNB
2025-10-07,17.1,17.2,16.9,17.0,22300,VNB
2025-10-08,16.9,17.1,16.8,17.0,64200,VNB
2025-10-09,18.5,18.5,17.0,17.9,134200,VNB
2025-10-10,17.4,17.9,17.4,17.9,37400,VNB
2025-10-13,17.6,18.7,17.4,18.4,239100,VNB
2025-10-14,18.7,19.7,18.3,18.9,237200,VNB
2025-10-15,19.3,19.3,18.2,18.5,89700,VNB
2025-10-16,18.5,18.6,17.9,18.1,129400,VNB
2025-10-17,18.1,18.1,17.7,17.8,86300,VNB
2025-10-20,17.6,17.7,16.5,16.9,126500,VNB
2025-10-21,16.9,17.3,16.5,16.9,46100,VNB
2025-10-22,16.9,16.9,16.5,16.9,60900,VNB
2025-10-23,16.9,17.2,16.8,16.8,25400,VNB
2025-10-24,16.0,16.9,16.0,16.7,17500,VNB
2025-10-27,16.9,17.3,16.9,17.1,37800,VNB
2025-10-28,17.9,18.5,16.8,17.1,13900,VNB
2025-10-29,17.0,17.8,17.0,17.3,11500,VNB
2025-10-30,17.2,17.2,16.9,17.1,19800,VNB
2025-10-31,17.2,17.3,16.0,16.0,53700,VNB
