time,open,high,low,close,volume,symbol
2025-08-21,57.41,58.17,56.93,57.41,5816129,VNM
2025-08-22,57.12,57.22,55.88,56.07,7210343,VNM
2025-08-25,56.26,56.93,56.07,56.07,3365985,VNM
2025-08-26,55.97,57.41,55.88,57.03,2994293,VNM
2025-08-27,57.03,58.46,56.83,57.79,4854223,VNM
2025-08-28,58.27,58.74,57.98,58.27,3666449,VNM
2025-08-29,58.55,58.55,57.6,57.6,4172198,VNM
2025-09-03,57.6,58.74,57.6,58.74,4773459,VNM
2025-09-04,58.94,59.7,58.74,59.03,4233882,VNM
2025-09-05,59.13,59.22,58.17,58.17,5364137,VNM
2025-09-08,58.17,59.13,57.89,57.89,6965675,VNM
2025-09-09,57.89,58.27,57.41,57.6,3522635,VNM
2025-09-10,57.79,57.89,57.03,57.12,3127098,VNM
2025-09-11,57.12,58.46,56.74,58.46,5005742,VNM
2025-09-12,58.55,60.66,58.27,60.37,13687337,VNM
2025-09-15,60.56,60.66,59.99,60.27,3536437,VNM
2025-09-16,60.66,62.47,60.37,61.8,12690318,VNM
2025-09-17,61.9,63.23,61.9,62.18,9878719,VNM
2025-09-18,62.18,62.37,60.66,60.75,5070426,VNM
2025-09-19,60.94,61.04,59.22,59.22,5310507,VNM
2025-09-22,59.32,59.99,58.65,58.65,5294211,VNM
2025-09-23,58.74,59.7,58.74,58.84,3431691,VNM
2025-09-24,59.13,59.22,58.27,59.22,3219465,VNM
2025-09-25,59.51,59.6,58.74,58.74,2757739,VNM
2025-09-26,58.74,59.03,58.36,58.36,2494919,VNM
2025-09-29,58.36,58.46,57.5,57.6,5139527,VNM
2025-09-30,57.69,58.08,57.31,57.31,3035907,VNM
2025-10-01,57.98,59.7,57.5,59.32,4530998,VNM
2025-10-02,59.7,59.8,58.46,58.46,3409526,VNM
2025-10-03,58.55,59.51,58.46,58.55,4003694,VNM
2025-10-06,59.89,59.89,59.03,59.6,4058047,VNM
2025-10-07,59.89,59.89,58.65,58.65,3722157,VNM
2025-10-08,59.51,60.66,58.94,60.56,5927644,VNM
2025-10-09,60.56,60.66,59.8,60.08,3303747,VNM
2025-10-10,60.56,60.56,59.6,59.6,4980079,VNM
2025-10-13,59.41,61.23,59.03,61.13,6315036,VNM
2025-10-14,61.51,61.51,60.46,60.66,5368265,VNM
2025-10-15,60.94,61.51,60.75,60.75,4653477,VNM
2025-10-16,60.8,61.2,60.2,61.2,5180885,VNM
2025-10-17,61.0,61.2,58.8,58.8,6054177,VNM
2025-10-20,58.9,59.4,55.0,55.0,8762669,VNM
2025-10-21,56.1,58.0,56.1,56.5,7079112,VNM
2025-10-22,57.1,57.3,55.7,56.3,3863715,VNM
2025-10-23,56.5,57.1,56.3,56.6,2331775,VNM
2025-10-24,56.9,58.1,56.1,58.1,3966518,VNM
2025-10-27,58.4,58.4,57.0,57.0,3010562,VNM
2025-10-28,57.2,57.4,56.8,57.4,2083083,VNM
2025-10-29,57.5,57.9,57.1,57.5,1973000,VNM
2025-10-30,57.8,57.9,57.0,57.1,1905200,VNM
2025-10-31,57.4,57.7,57.1,57.6,2641500,VNM
