time,open,high,low,close,volume,symbol
2025-08-21,13.8,14.0,13.8,13.8,14900,VOC
2025-08-22,13.9,13.9,13.7,13.7,6600,VOC
2025-08-25,13.7,13.8,13.7,13.8,400,VOC
2025-08-26,13.8,13.8,13.8,13.8,10900,VOC
2025-08-27,13.7,13.9,13.7,13.8,4800,VOC
2025-08-28,13.8,13.8,13.7,13.8,5200,VOC
2025-08-29,13.9,13.9,13.8,13.8,6000,VOC
2025-09-03,13.9,13.9,13.9,13.9,300,VOC
2025-09-04,13.9,14.0,13.8,14.0,17900,VOC
2025-09-05,14.0,14.0,13.9,14.0,9000,VOC
2025-09-08,13.9,14.0,13.9,14.0,2100,VOC
2025-09-09,13.8,14.0,13.8,13.9,2000,VOC
2025-09-10,13.9,14.0,13.9,14.0,1700,VOC
2025-09-11,13.8,14.0,13.8,14.0,7200,VOC
2025-09-12,13.8,13.9,13.8,13.8,3300,VOC
2025-09-15,14.0,14.0,13.9,14.0,22800,VOC
2025-09-16,14.0,14.1,13.9,13.9,14300,VOC
2025-09-17,13.9,14.0,13.9,14.0,1900,VOC
2025-09-18,14.0,14.0,13.8,13.8,1500,VOC
2025-09-19,13.9,13.9,13.8,13.9,11700,VOC
2025-09-22,13.8,13.9,13.7,13.7,2800,VOC
2025-09-23,13.7,13.7,13.7,13.7,5700,VOC
2025-09-24,13.6,13.8,13.6,13.7,400,VOC
2025-09-25,13.7,13.7,13.6,13.6,29200,VOC
2025-09-26,13.6,13.7,13.5,13.7,38200,VOC
2025-09-29,13.5,13.6,12.6,12.7,89500,VOC
2025-09-30,13.0,13.1,11.9,12.2,179000,VOC
2025-10-01,12.1,12.3,11.8,12.0,27200,VOC
2025-10-02,11.8,12.1,11.7,11.7,39500,VOC
2025-10-03,12.0,12.0,11.7,11.9,7600,VOC
2025-10-06,12.0,12.1,11.7,11.8,27900,VOC
2025-10-07,11.8,11.9,11.5,11.9,27600,VOC
2025-10-08,11.9,12.0,11.7,12.0,14500,VOC
2025-10-09,11.9,12.0,11.8,11.8,1300,VOC
2025-10-10,11.9,12.0,11.9,12.0,4800,VOC
2025-10-13,12.1,12.1,11.9,11.9,3600,VOC
2025-10-14,12.0,12.0,11.9,11.9,29200,VOC
2025-10-15,11.8,12.1,11.8,11.9,16100,VOC
2025-10-16,11.8,12.0,11.8,11.9,5400,VOC
2025-10-17,11.6,12.0,11.3,11.9,12500,VOC
2025-10-20,11.7,11.8,11.6,11.7,33000,VOC
2025-10-21,11.7,12.0,11.7,11.7,21000,VOC
2025-10-22,11.8,12.2,11.8,12.1,13900,VOC
2025-10-23,12.1,13.0,11.8,12.9,26100,VOC
2025-10-24,13.0,13.4,12.8,13.0,6100,VOC
2025-10-27,13.1,13.3,13.0,13.0,11400,VOC
2025-10-28,13.1,13.1,12.7,12.7,18700,VOC
2025-10-29,13.0,13.1,12.9,12.9,3300,VOC
2025-10-30,13.0,13.0,12.8,12.9,22500,VOC
2025-10-31,12.9,12.9,12.8,12.8,12200,VOC
