time,open,high,low,close,volume,symbol
2025-08-21,30.0,30.5,29.5,30.4,7598200,VRE
2025-08-22,29.85,30.1,28.65,30.0,10650500,VRE
2025-08-25,30.1,30.8,29.4,30.0,6458300,VRE
2025-08-26,30.2,31.7,29.85,31.3,8904200,VRE
2025-08-27,31.25,31.3,30.55,30.6,4508200,VRE
2025-08-28,30.6,30.75,30.0,30.7,5267000,VRE
2025-08-29,30.5,30.75,30.0,30.4,9892100,VRE
2025-09-03,30.0,30.3,29.9,30.15,6885100,VRE
2025-09-04,30.4,30.4,29.9,30.3,4316100,VRE
2025-09-05,30.3,31.2,30.15,30.3,7492700,VRE
2025-09-08,30.3,30.85,30.25,30.3,4186600,VRE
2025-09-09,30.3,30.55,30.1,30.3,2922000,VRE
2025-09-10,30.45,30.6,30.05,30.6,2722200,VRE
2025-09-11,30.6,31.75,30.25,31.1,4984300,VRE
2025-09-12,31.1,31.3,30.6,30.75,2635500,VRE
2025-09-15,30.75,31.1,30.55,30.65,3038800,VRE
2025-09-16,30.95,31.1,30.6,30.6,2795800,VRE
2025-09-17,30.55,30.9,30.2,30.2,4134100,VRE
2025-09-18,30.05,31.5,30.05,30.2,6786300,VRE
2025-09-19,30.3,30.6,29.45,29.45,7315200,VRE
2025-09-22,29.6,29.8,28.4,28.8,6309100,VRE
2025-09-23,28.5,28.8,28.3,28.3,3505100,VRE
2025-09-24,28.3,29.15,27.85,29.0,3542100,VRE
2025-09-25,29.0,29.55,28.8,29.4,3095400,VRE
2025-09-26,29.45,29.45,28.8,29.4,3372100,VRE
2025-09-29,29.1,30.05,28.8,30.0,4493600,VRE
2025-09-30,30.4,32.1,30.3,32.1,17459400,VRE
2025-10-01,32.5,34.3,32.5,33.15,11521500,VRE
2025-10-02,33.2,33.5,31.75,31.75,6929900,VRE
2025-10-03,31.75,33.9,30.6,32.75,11848400,VRE
2025-10-06,34.5,35.0,33.3,35.0,16082700,VRE
2025-10-07,36.0,36.6,35.0,35.0,12556500,VRE
2025-10-08,35.3,36.45,34.15,36.3,17296100,VRE
2025-10-09,36.5,38.8,36.1,38.0,25692700,VRE
2025-10-10,38.0,40.4,37.5,40.35,20025400,VRE
2025-10-13,40.4,43.0,40.35,43.0,27893300,VRE
2025-10-14,44.1,45.2,42.7,42.75,32089100,VRE
2025-10-15,42.65,43.05,41.05,41.9,19684200,VRE
2025-10-16,42.2,43.5,41.0,43.4,17983400,VRE
2025-10-17,43.5,43.55,40.8,41.0,20871000,VRE
2025-10-20,39.5,41.3,38.15,38.15,18979900,VRE
2025-10-21,38.05,39.45,36.55,38.8,17634200,VRE
2025-10-22,39.4,39.4,36.35,39.0,14611500,VRE
2025-10-23,38.9,39.95,37.6,39.4,10632500,VRE
2025-10-24,39.2,39.8,38.1,38.8,9011700,VRE
2025-10-27,39.0,39.75,36.1,36.1,12570400,VRE
2025-10-28,34.75,37.0,33.6,36.8,28526100,VRE
2025-10-29,37.1,37.1,35.05,35.95,8951300,VRE
2025-10-30,35.95,35.95,34.1,34.6,9832700,VRE
2025-10-31,34.1,34.3,32.9,33.3,15108600,VRE
