time,open,high,low,close,volume,symbol
2024-11-08,3.0,3.3,2.9,3.0,558000,VST
2024-11-15,3.0,3.0,2.8,3.0,144900,VST
2024-11-22,2.9,3.0,2.9,2.9,72400,VST
2024-11-29,2.9,2.9,2.7,2.8,58100,VST
2024-12-06,2.8,2.9,2.8,2.8,99500,VST
2024-12-13,2.8,2.8,2.7,2.7,59200,VST
2024-12-20,2.8,2.9,2.7,2.8,128100,VST
2024-12-27,2.9,2.9,2.7,2.8,72500,VST
2025-01-03,2.9,2.9,2.7,2.8,53100,VST
2025-01-10,2.7,2.9,2.7,2.9,160700,VST
2025-01-17,3.0,3.0,2.9,2.9,24800,VST
2025-01-24,2.9,3.2,2.9,3.0,153700,VST
2025-02-07,3.4,3.4,3.2,3.4,187500,VST
2025-02-14,3.7,3.9,3.7,3.9,430600,VST
2025-02-21,3.9,4.3,3.9,3.9,401500,VST
2025-02-28,4.0,4.0,3.6,3.7,181800,VST
2025-03-07,3.7,3.7,3.2,3.3,346000,VST
2025-03-14,3.3,3.4,3.3,3.3,37800,VST
2025-03-21,3.2,3.4,3.2,3.2,67300,VST
2025-03-28,3.3,3.5,3.3,3.4,94500,VST
2025-04-04,3.0,3.1,2.9,2.9,364600,VST
2025-04-11,3.1,3.3,2.8,3.2,688100,VST
2025-04-18,3.2,3.5,3.2,3.4,461600,VST
2025-04-25,3.0,3.9,3.0,3.6,379900,VST
2025-05-09,3.6,4.0,3.6,3.8,98600,VST
2025-05-16,4.0,4.0,3.7,3.8,127400,VST
2025-05-23,3.8,3.9,3.5,3.7,31000,VST
2025-05-30,3.7,3.8,3.5,3.5,45900,VST
2025-06-06,3.6,3.6,3.4,3.4,47100,VST
2025-06-13,3.4,3.5,3.3,3.5,44400,VST
2025-06-20,3.4,3.6,3.4,3.6,100000,VST
2025-06-27,3.5,3.6,3.4,3.5,146800,VST
2025-07-04,3.5,3.6,3.5,3.6,227900,VST
2025-07-11,3.5,3.6,3.0,3.3,539400,VST
2025-07-18,3.2,3.5,3.2,3.4,82300,VST
2025-07-25,3.4,3.8,3.4,3.8,260600,VST
2025-08-01,3.7,3.7,3.4,3.5,146600,VST
2025-08-08,3.5,3.6,3.4,3.5,224500,VST
2025-08-15,3.6,3.8,3.6,3.6,116900,VST
2025-08-22,3.8,3.8,3.4,3.4,190600,VST
2025-08-29,3.5,3.5,3.4,3.4,277700,VST
2025-09-05,3.5,3.5,3.4,3.4,79800,VST
2025-09-12,3.6,3.6,3.4,3.4,76400,VST
2025-09-19,3.4,3.4,3.3,3.4,47200,VST
2025-09-26,3.5,3.6,3.4,3.4,191200,VST
2025-10-03,3.5,3.5,3.3,3.4,57300,VST
2025-10-10,3.4,3.4,3.0,3.3,356800,VST
2025-10-17,3.2,3.2,2.9,3.1,369500,VST
2025-10-24,3.0,3.0,2.9,2.9,162500,VST
2025-10-31,3.0,3.3,3.0,3.3,245200,VST
