time,open,high,low,close,volume,symbol
2025-08-21,101.45,102.74,98.78,101.45,1141903,VTP
2025-08-22,101.35,101.35,96.7,97.5,734474,VTP
2025-08-25,97.79,100.26,97.5,98.09,616342,VTP
2025-08-26,97.69,99.08,97.69,98.78,249433,VTP
2025-08-27,99.77,102.34,99.37,100.56,464383,VTP
2025-08-28,101.35,101.45,98.78,99.28,314862,VTP
2025-08-29,99.87,100.46,97.89,97.89,558498,VTP
2025-09-03,98.98,100.76,98.09,100.46,398315,VTP
2025-09-04,100.96,106.79,100.96,104.02,667964,VTP
2025-09-05,104.32,104.62,101.65,101.65,417946,VTP
2025-09-08,101.45,101.45,98.19,98.19,524072,VTP
2025-09-09,98.19,99.28,98.09,98.29,241487,VTP
2025-09-10,99.18,99.18,98.19,98.29,137246,VTP
2025-09-11,98.88,98.88,96.9,97.59,298878,VTP
2025-09-12,97.79,100.86,97.79,99.37,291839,VTP
2025-09-15,100.26,102.84,100.26,102.84,569971,VTP
2025-09-16,102.93,104.32,102.04,102.74,438271,VTP
2025-09-17,101.35,105.7,101.35,103.82,719122,VTP
2025-09-18,103.82,103.82,101.75,102.14,252211,VTP
2025-09-19,102.64,102.64,99.87,99.87,358965,VTP
2025-09-22,99.87,100.66,98.39,98.68,246150,VTP
2025-09-23,99.57,102.24,98.88,99.87,256564,VTP
2025-09-24,100.76,100.76,98.88,99.37,146884,VTP
2025-09-25,99.97,100.66,99.28,100.17,304436,VTP
2025-09-26,100.17,100.17,98.39,98.68,298513,VTP
2025-09-29,98.98,98.98,96.9,97.3,299306,VTP
2025-09-30,97.4,98.98,96.31,97.1,288088,VTP
2025-10-01,96.9,97.1,94.92,95.32,340823,VTP
2025-10-02,96.9,96.9,95.22,95.52,130120,VTP
2025-10-03,95.5,96.4,94.6,94.6,172622,VTP
2025-10-06,94.8,95.5,93.8,94.6,731450,VTP
2025-10-07,95.1,97.2,95.1,95.5,222699,VTP
2025-10-08,97.0,97.1,95.9,96.3,247622,VTP
2025-10-09,95.8,96.6,94.3,94.6,463774,VTP
2025-10-10,95.2,98.8,94.4,98.6,699166,VTP
2025-10-13,97.8,102.0,97.4,98.6,672360,VTP
2025-10-14,99.7,99.7,95.8,97.4,1088024,VTP
2025-10-15,98.0,99.0,96.2,98.8,615264,VTP
2025-10-16,99.4,100.8,96.5,99.8,828900,VTP
2025-10-17,100.8,100.8,97.8,100.0,569300,VTP
2025-10-20,100.0,107.0,98.5,104.5,3339300,VTP
2025-10-21,106.8,111.2,106.8,111.0,1794900,VTP
2025-10-22,114.4,114.4,109.0,112.5,1317900,VTP
2025-10-23,111.1,112.3,106.3,106.3,1037100,VTP
2025-10-24,106.0,113.7,105.0,113.7,1803900,VTP
2025-10-27,117.0,118.9,114.5,114.5,1330100,VTP
2025-10-28,114.5,117.9,110.2,116.0,1164100,VTP
2025-10-29,117.0,117.4,114.3,115.0,645000,VTP
2025-10-30,115.3,122.5,115.3,119.3,2265100,VTP
2025-10-31,120.3,121.9,115.5,115.5,1337000,VTP
