time,open,high,low,close,volume,symbol
2025-07-09,14.2,14.2,14.2,14.2,200,VUA
2025-07-11,16.3,16.3,16.3,16.3,100,VUA
2025-07-17,15.0,15.0,15.0,15.0,100,VUA
2025-08-05,12.9,13.1,12.9,12.9,800,VUA
2025-08-08,13.0,13.0,13.0,13.0,500,VUA
2025-08-11,14.9,14.9,14.9,14.9,100,VUA
2025-08-20,14.9,14.9,14.9,14.9,100,VUA
2025-08-21,17.1,17.1,17.1,17.1,1600,VUA
2025-08-22,19.6,19.6,19.6,19.6,10200,VUA
2025-08-25,22.0,22.5,22.0,22.5,21800,VUA
2025-08-26,23.0,25.8,22.5,25.4,30100,VUA
2025-08-27,26.0,26.0,25.0,26.0,1500,VUA
2025-08-28,25.8,25.8,22.1,24.4,6700,VUA
2025-08-29,24.1,24.1,20.8,23.8,900,VUA
2025-09-03,22.0,22.0,19.9,19.9,5900,VUA
2025-09-04,20.0,22.0,20.0,22.0,700,VUA
2025-09-05,22.9,22.9,18.1,19.5,1600,VUA
2025-09-08,18.6,18.6,18.1,18.1,3900,VUA
2025-09-09,20.9,20.9,20.9,20.9,100,VUA
2025-09-11,19.1,19.1,17.8,18.0,5100,VUA
2025-09-12,19.8,19.8,19.8,19.8,100,VUA
2025-09-16,18.6,18.6,18.5,18.6,2800,VUA
2025-09-19,18.5,18.6,18.5,18.6,1000,VUA
2025-09-23,18.6,18.6,18.6,18.6,100,VUA
2025-09-24,16.1,18.6,16.1,18.6,9800,VUA
2025-09-25,16.2,18.5,16.2,18.5,16600,VUA
2025-09-26,19.2,19.2,19.2,19.2,6600,VUA
2025-09-29,22.0,22.0,22.0,22.0,10200,VUA
2025-09-30,24.3,25.3,24.3,25.3,12700,VUA
2025-10-01,27.9,27.9,21.5,22.2,6400,VUA
2025-10-02,21.5,21.6,21.5,21.5,3500,VUA
2025-10-03,21.6,21.6,21.0,21.0,1100,VUA
2025-10-06,18.3,21.0,18.0,21.0,8000,VUA
2025-10-07,20.5,20.8,20.5,20.8,3800,VUA
2025-10-08,20.8,20.8,20.7,20.7,2800,VUA
2025-10-09,21.2,21.2,20.9,20.9,2400,VUA
2025-10-10,21.0,21.0,18.5,18.5,600,VUA
2025-10-13,18.6,18.6,17.5,17.8,600,VUA
2025-10-14,20.0,20.5,19.5,20.5,3200,VUA
2025-10-15,20.6,20.6,19.9,20.0,1000,VUA
2025-10-16,19.5,19.5,19.4,19.4,1400,VUA
2025-10-17,19.5,19.5,19.0,19.0,5100,VUA
2025-10-20,18.5,19.0,18.5,19.0,1200,VUA
2025-10-21,18.8,18.8,18.3,18.3,200,VUA
2025-10-22,18.0,18.0,16.9,16.9,2900,VUA
2025-10-23,17.0,17.0,17.0,17.0,100,VUA
2025-10-24,17.0,17.0,17.0,17.0,100,VUA
2025-10-27,17.1,17.1,17.1,17.1,400,VUA
2025-10-30,17.1,17.1,17.1,17.1,100,VUA
2025-10-31,17.1,17.1,17.1,17.1,200,VUA
