time,open,high,low,close,volume,symbol
2025-08-21,7.3,7.5,7.1,7.5,187000,WSS
2025-08-22,7.7,7.7,7.0,7.4,180000,WSS
2025-08-25,7.4,7.4,6.7,6.8,73700,WSS
2025-08-26,6.8,7.2,6.8,7.2,60000,WSS
2025-08-27,7.2,7.4,7.0,7.0,137300,WSS
2025-08-28,7.0,7.7,7.0,7.6,271700,WSS
2025-08-29,7.6,8.3,7.6,8.3,235400,WSS
2025-09-03,8.3,9.1,8.3,9.1,394400,WSS
2025-09-04,10.0,10.0,8.5,8.6,150600,WSS
2025-09-05,8.7,8.9,8.2,8.2,130900,WSS
2025-09-08,8.3,8.9,7.5,7.9,228000,WSS
2025-09-09,7.9,8.0,7.5,8.0,77600,WSS
2025-09-10,8.4,8.4,7.6,7.8,54200,WSS
2025-09-11,7.5,7.7,7.3,7.4,126300,WSS
2025-09-12,7.6,7.8,7.1,7.7,72100,WSS
2025-09-15,7.8,7.8,7.5,7.7,50500,WSS
2025-09-16,7.4,7.8,7.4,7.7,120100,WSS
2025-09-17,7.7,7.7,7.5,7.5,26200,WSS
2025-09-18,7.5,7.5,7.4,7.5,28900,WSS
2025-09-19,7.7,7.7,7.4,7.5,19500,WSS
2025-09-22,7.4,7.4,7.2,7.3,53700,WSS
2025-09-23,7.3,7.5,7.3,7.4,39000,WSS
2025-09-24,7.4,7.4,7.0,7.4,50400,WSS
2025-09-25,7.4,7.5,7.3,7.4,29700,WSS
2025-09-26,7.3,7.4,7.2,7.4,32000,WSS
2025-09-29,7.2,7.3,7.2,7.3,33000,WSS
2025-09-30,7.3,7.3,7.0,7.1,57800,WSS
2025-10-01,7.1,7.3,7.0,7.1,42700,WSS
2025-10-02,7.1,7.7,7.1,7.6,123600,WSS
2025-10-03,7.6,7.6,7.2,7.2,21500,WSS
2025-10-06,7.2,7.9,7.2,7.7,98200,WSS
2025-10-07,7.7,7.7,7.4,7.6,29600,WSS
2025-10-08,8.0,8.0,7.5,7.6,48100,WSS
2025-10-09,7.6,7.7,7.4,7.6,9000,WSS
2025-10-10,7.7,7.7,7.3,7.5,25100,WSS
2025-10-13,7.3,7.3,7.2,7.2,47400,WSS
2025-10-14,7.2,7.4,7.2,7.3,56500,WSS
2025-10-15,7.2,7.5,7.2,7.3,25500,WSS
2025-10-16,7.4,7.4,7.2,7.4,47900,WSS
2025-10-17,7.4,7.5,7.3,7.3,29600,WSS
2025-10-20,7.5,7.5,7.0,7.0,61100,WSS
2025-10-21,7.0,7.3,6.3,7.0,76900,WSS
2025-10-22,7.1,7.1,6.8,7.1,17300,WSS
2025-10-23,7.1,7.1,6.9,7.1,7600,WSS
2025-10-24,7.0,7.0,6.8,7.0,14300,WSS
2025-10-27,7.0,7.0,6.8,6.9,18200,WSS
2025-10-28,6.9,7.0,6.7,7.0,23700,WSS
2025-10-29,6.9,7.2,6.8,7.2,48100,WSS
2025-10-30,7.2,7.2,6.9,7.0,26600,WSS
2025-10-31,6.9,7.0,6.9,6.9,23100,WSS
